Trait,Trait description,# lines measured,Phenotyped_sex,Reference
2 3-butanedione olfactory attraction (F),"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.",157,Female,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory attraction (M),"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.",157,Male,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory latency 30 percentile (F),"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.",157,Female,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory latency 30 percentile (M),"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.",157,Male,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory latency 90 percentile (F),"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.",157,Female,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory latency 90 percentile (M),"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.",157,Male,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory response intensity (F),"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",157,Female,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory response intensity (M),"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",157,Male,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory strength attraction (F),"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",157,Female,"Brown et al (2013) Genes, Brain and Behaviour"
2 3-butanedione olfactory strength attraction (M),"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",157,Male,"Brown et al (2013) Genes, Brain and Behaviour"
Abdomen length 18C (F),"Mean adult abdomen length, when reared at 18C. Higher values indicate larger flies.",194,Female,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Abdomen length 28C (F),"Mean adult abdomen length, when reared at 28C. Higher values indicate larger flies.",196,Female,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Abdomen length thermal plasticity (F),"Flies were reared at 18C and 28C, after which adult abdomen lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.",191,Female,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Acclimated acute cold exposure resistance 18C (F),"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",181,Female,Gerken et al (2015) PNAS
Acclimated acute cold exposure resistance 18C (M),"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",181,Male,Gerken et al (2015) PNAS
Acclimated acute cold exposure resistance 25C (F),"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",187,Female,Gerken et al (2015) PNAS
Acclimated acute cold exposure resistance 25C (M),"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",187,Male,Gerken et al (2015) PNAS
Acute cold exposure resistance 18C -6 (F),"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",185,Female,Gerken et al (2015) PNAS
Acute cold exposure resistance 18C -6 (M),"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",186,Male,Gerken et al (2015) PNAS
Acute cold exposure resistance 18C -8 (F),"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",181,Female,Gerken et al (2015) PNAS
Acute cold exposure resistance 18C -8 (M),"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",181,Male,Gerken et al (2015) PNAS
Acute cold exposure resistance 25C (F),"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",184,Female,Gerken et al (2015) PNAS
Acute cold exposure resistance 25C (M),"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",184,Male,Gerken et al (2015) PNAS
Aggression  (M),Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.,200,Male,Shorter et al (2015) PNAS
Anoxia tolerance adult (F),"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",171,Female,Campwell et al (2019) G3
Anoxia tolerance adult (M),"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",171,Male,Campwell et al (2019) G3
Basal activity (F),"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",153,Female,Watanabe et al (2020) G3
Basal activity (M),"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",151,Male,Watanabe et al (2020) G3
