Vial,Line,Treatment,Infector,Date,number_infected,Alive_at_day5
1,317,Efaecalis,Rose,5/3/17,10,7
2,894,Efaecalis,Rob,5/3/17,10,2
3,340,Efaecalis,Jo,5/3/17,10,7
4,365,Efaecalis,Rob,5/3/17,10,6
5,486,Efaecalis,Rob,5/3/17,10,5
6,26,Efaecalis,Rose,5/3/17,10,8
7,818,Efaecalis,Rose,5/3/17,10,5
8,181,Efaecalis,Jo,5/3/17,10,7
9,492,Efaecalis,Rose,5/3/17,10,0
10,850,Efaecalis,Jo,5/3/17,10,7
11,426,Efaecalis,Rob,5/3/17,10,8
12,256,Efaecalis,Jo,5/3/17,10,10
13,382,Efaecalis,Rob,5/3/17,10,5
14,857,Efaecalis,Jo,5/3/17,10,7
15,358,Efaecalis,Rob,5/3/17,10,4
16,355,Efaecalis,Rob,5/3/17,10,7
18,332,Efaecalis,Rose,5/3/17,10,6
19,88,Efaecalis,Rob,5/3/17,10,8
20,804,Efaecalis,Jo,5/3/17,10,9
21,801,Efaecalis,Rob,5/3/17,10,8
22,790,Efaecalis,Jo,5/3/17,10,9
23,551,Efaecalis,Rob,5/3/17,10,7
24,32,Efaecalis,Rose,5/3/17,10,1
25,397,Efaecalis,Rose,5/3/17,10,4
26,406,Efaecalis,Rob,5/3/17,10,5
27,908,Efaecalis,Rose,5/3/17,10,4
28,101,Efaecalis,Jo,5/3/17,10,10
29,392,Efaecalis,Rose,5/3/17,10,3
30,821,Efaecalis,Jo,5/3/17,10,9
31,336,Efaecalis,Jo,5/3/17,10,9
32,315,Efaecalis,Jo,5/3/17,9,7
33,509,Efaecalis,Jo,5/3/17,10,8
34,303,Efaecalis,Jo,5/3/17,10,7
35,513,Efaecalis,Rose,5/3/17,10,4
36,41,Efaecalis,Rob,5/3/17,10,8
37,310,Efaecalis,Jo,5/3/17,10,9
38,287,Efaecalis,Jo,5/3/17,10,8
39,176,Efaecalis,Jo,5/3/17,10,3
40,832,Efaecalis,Rob,5/3/17,10,7
41,491,Efaecalis,Jo,5/3/17,10,9
42,208,Efaecalis,Rob,5/3/17,10,5
43,217,Efaecalis,Rose,5/3/17,10,3
44,386,Efaecalis,Rose,5/3/17,10,5
45,853,Efaecalis,Rob,5/3/17,10,5
46,237,Efaecalis,Rob,5/3/17,10,4
47,900,Efaecalis,Rose,5/3/17,10,5
48,802,Efaecalis,Rose,5/3/17,10,5
49,761,Efaecalis,Rob,5/3/17,10,8
50,356,Efaecalis,Jo,5/3/17,10,9
51,374,Efaecalis,Rob,5/3/17,10,8
52,361,Efaecalis,Jo,5/3/17,10,3
53,371,Efaecalis,Rose,5/3/17,10,6
54,153,Efaecalis,Rob,5/3/17,10,6
55,105,Efaecalis,Rose,5/3/17,10,6
56,354,Efaecalis,Rob,5/3/17,10,6
57,370,Efaecalis,Rose,5/3/17,10,3
58,405,Efaecalis,Jo,5/3/17,10,9
59,748,Efaecalis,Rob,5/3/17,10,10
60,360,Efaecalis,Jo,5/3/17,10,9
61,348,Efaecalis,Rose,5/3/17,10,4
62,810,Efaecalis,Rob,5/3/17,10,8
63,136,Efaecalis,Rose,5/3/17,10,4
64,306,Efaecalis,Rob,5/3/17,10,7
65,309,Efaecalis,Jo,5/3/17,10,0
66,819,Efaecalis,Rose,5/3/17,10,0
67,887,Efaecalis,Rose,5/3/17,10,2
68,380,Efaecalis,Rob,5/3/17,10,9
69,280,Efaecalis,Rose,5/3/17,10,2
70,320,Efaecalis,Rob,5/3/17,10,5
71,441,Efaecalis,Rob,5/3/17,10,7
72,786,Efaecalis,Jo,5/3/17,10,9
73,774,Efaecalis,Rose,5/3/17,10,4
74,69,Efaecalis,Rob,5/3/17,10,8
75,805,Efaecalis,Rose,5/3/17,10,6
76,377,Efaecalis,Jo,5/3/17,10,10
77,379,Efaecalis,Jo,5/3/17,10,10
78,879,Efaecalis,Rob,5/3/17,10,7
79,385,Efaecalis,Jo,5/3/17,10,7
80,100,Efaecalis,Jo,5/3/17,10,7
81,796,Efaecalis,Rob,5/3/17,10,5
82,461,Efaecalis,Rose,5/3/17,10,6
83,505,Efaecalis,Jo,5/3/17,10,5
84,338,Efaecalis,Rose,5/3/17,10,8
85,440,Efaecalis,Rob,5/3/17,10,10
86,783,Efaecalis,Rose,5/3/17,10,7
87,83,Efaecalis,Rose,5/3/17,10,4
88,517,Efaecalis,Rose,5/3/17,10,5
89,48,Efaecalis,Jo,5/4/17,9,7
