PairID,line,agressive.lunges.per.20mins.m
1,307,20
2,307,1
3,307,0
4,307,5
5,307,0
6,307,71
7,307,0
8,307,3
9,307,9
10,307,27
11,307,0
12,307,2
13,307,8
14,307,2
15,307,1
16,307,10
17,307,7
18,307,0
19,307,0
20,307,15
21,307,21
22,307,1
1,313,0
2,313,1
3,313,6
4,313,3
5,313,1
6,313,0
7,313,4
8,313,0
9,313,0
10,313,1
11,313,0
12,313,0
13,313,1
14,313,2
15,313,4
16,313,1
17,313,1
18,313,1
19,313,1
20,313,4
21,313,2
22,313,2
23,313,3
1,317,2
2,317,1
3,317,0
4,317,0
5,317,0
6,317,1
7,317,0
8,317,0
9,317,0
10,317,0
11,317,0
12,317,0
13,317,0
14,317,0
15,317,1
16,317,1
17,317,0
18,317,3
19,317,1
20,317,0
21,317,0
22,317,1
23,317,3
24,317,1
1,321,2
2,321,6
3,321,1
4,321,1
5,321,0
6,321,0
7,321,2
8,321,0
9,321,2
10,321,1
11,321,0
12,321,0
13,321,2
14,321,1
15,321,9
16,321,4
17,321,0
18,321,0
19,321,0
20,321,1
21,321,2
22,321,1
23,321,0
1,356,0
2,356,1
3,356,0
4,356,1
5,356,0
6,356,0
7,356,0
8,356,0
9,356,0
10,356,0
11,356,0
12,356,0
13,356,0
14,356,0
15,356,0
16,356,0
17,356,0
18,356,0
19,356,0
20,356,0
21,356,0
22,356,0
23,356,0
24,356,0
1,357,4
2,357,0
3,357,2
4,357,2
5,357,0
6,357,0
7,357,1
8,357,1
9,357,0
10,357,2
11,357,1
12,357,0
13,357,1
14,357,0
15,357,0
16,357,0
17,357,0
18,357,0
19,357,0
20,357,1
21,357,0
22,357,1
23,357,1
1,358,3
2,358,1
3,358,0
4,358,0
5,358,3
6,358,2
7,358,1
8,358,1
9,358,0
10,358,0
11,358,2
12,358,1
13,358,0
14,358,1
15,358,0
16,358,0
17,358,3
18,358,1
19,358,0
20,358,2
21,358,0
22,358,0
1,359,1
2,359,0
3,359,1
4,359,0
5,359,0
6,359,1
7,359,0
8,359,0
9,359,0
10,359,0
11,359,0
12,359,0
13,359,0
14,359,0
15,359,0
16,359,0
17,359,0
18,359,0
19,359,0
20,359,0
21,359,0
22,359,0
23,359,0
1,361,0
2,361,1
3,361,0
4,361,3
5,361,1
6,361,0
7,361,0
8,361,1
9,361,0
10,361,1
11,361,0
12,361,3
13,361,1
14,361,0
15,361,0
16,361,0
17,361,0
18,361,0
19,361,0
20,361,1
21,361,0
1,385,39
2,385,0
3,385,0
4,385,0
5,385,0
6,385,0
7,385,0
8,385,0
9,385,7
10,385,0
11,385,0
12,385,0
13,385,1
14,385,0
15,385,0
16,385,0
17,385,8
18,385,1
19,385,0
20,385,0
21,385,4
22,385,0
23,385,0
24,385,1
1,386,1
2,386,9
3,386,14
4,386,12
5,386,10
6,386,4
7,386,11
8,386,15
9,386,6
10,386,3
11,386,4
12,386,1
13,386,6
14,386,4
15,386,4
16,386,1
17,386,2
18,386,3
19,386,17
20,386,2
21,386,0
22,386,2
23,386,4
24,386,9
1,391,3
2,391,0
3,391,0
4,391,0
5,391,0
6,391,1
7,391,0
8,391,0
9,391,0
10,391,0
11,391,4
12,391,2
1,392,5
2,392,79
3,392,10
4,392,2
5,392,21
6,392,4
7,392,10
8,392,1
9,392,1
10,392,13
11,392,1
12,392,1
13,392,2
14,392,0
15,392,15
16,392,44
17,392,44
18,392,3
1,399,2
2,399,0
3,399,2
4,399,17
5,399,0
6,399,0
7,399,0
8,399,3
9,399,1
10,399,3
11,399,1
12,399,1
13,399,0
14,399,0
15,399,0
16,399,3
17,399,0
18,399,1
19,399,1
20,399,44
21,399,1
22,399,0
23,399,4
24,399,1
1,409,0
2,409,2
