Date,Block,Rep,Line,LatCop,promiscuity,minuslogLatCop
30-Nov,1a,1,765,6,8,-0.7781513
30-Nov,1a,1,774,5,9,-0.69897
30-Nov,1a,1,427,5,7,-0.69897
30-Nov,1a,1,304,12.5,3,-1.09691
30-Nov,1a,1,307,15,8,-1.1760913
30-Nov,1a,1,437,29.5,7,-1.469822
30-Nov,1a,1,399,17,5,-1.2304489
30-Nov,1a,1,391,15,9,-1.1760913
30-Nov,1a,1,335,2.5,8,-0.39794
30-Nov,1a,1,517,15.5,9,-1.1903317
30-Nov,1a,1,555,5.5,6,-0.7403627
30-Nov,1a,1,379,18.5,9,-1.2671717
30-Nov,1a,1,357,8,6,-0.90309
30-Nov,1a,1,730,25.5,7,-1.4065402
30-Nov,1a,1,360,3.5,9,-0.544068
30-Nov,1a,1,380,5.5,10,-0.7403627
30-Nov,1a,1,486,6,10,-0.7781513
30-Nov,1a,1,315,11.5,10,-1.0606978
30-Nov,1a,1,208,6,10,-0.7781513
30-Nov,1a,1,707,5,9,-0.69897
30-Nov,1a,1,375,38.5,10,-1.5854607
30-Nov,1a,1,714,8,9,-0.90309
30-Nov,1a,1,365,6.5,10,-0.8129134
30-Nov,1a,1,639,7.5,5,-0.8750613
30-Nov,1a,1,358,7.5,8,-0.8750613
30-Nov,1a,1,324,10,9,-1
30-Nov,1a,1,301,14.5,9,-1.161368
30-Nov,1a,1,705,24,8,-1.3802112
30-Nov,1a,1,712,53,6,-1.7242759
30-Nov,1a,1,799,91.5,9,-1.9614211
30-Nov,1a,1,313,120,7,-2.0791812
30-Nov,1a,1,820,120,2,-2.0791812
30-Nov,1a,2,427,9,8,-0.9542425
30-Nov,1a,2,304,5.5,NA,-0.7403627
30-Nov,1a,2,307,14,8,-1.146128
30-Nov,1a,2,399,10.5,8,-1.0211893
30-Nov,1a,2,335,5,10,-0.69897
30-Nov,1a,2,765,30,8,-1.4771213
30-Nov,1a,2,375,5,10,-0.69897
30-Nov,1a,2,712,11,7,-1.0413927
30-Nov,1a,2,555,26.5,7,-1.4232459
30-Nov,1a,2,313,23,10,-1.3617278
30-Nov,1a,2,357,10,10,-1
30-Nov,1a,2,360,5.5,5,-0.7403627
30-Nov,1a,2,486,8.5,10,-0.9294189
30-Nov,1a,2,315,5.5,9,-0.7403627
30-Nov,1a,2,208,6,7,-0.7781513
30-Nov,1a,2,705,14.5,6,-1.161368
30-Nov,1a,2,365,4.5,9,-0.6532125
30-Nov,1a,2,639,8,7,-0.90309
30-Nov,1a,2,707,18.5,7,-1.2671717
30-Nov,1a,2,380,11.5,10,-1.0606978
30-Nov,1a,2,391,34,10,-1.5314789
30-Nov,1a,2,714,24,8,-1.3802112
30-Nov,1a,2,301,18.5,10,-1.2671717
30-Nov,1a,2,324,10.5,8,-1.0211893
30-Nov,1a,2,358,7,9,-0.845098
30-Nov,1a,2,379,33,9,-1.5185139
30-Nov,1a,2,774,70,7,-1.845098
30-Nov,1a,2,437,23,8,-1.3617278
30-Nov,1a,2,517,108,8,-2.0334238
30-Nov,1a,2,730,107,4,-2.0293838
30-Nov,1a,2,799,120,10,-2.0791812
30-Nov,1a,2,820,103,7,-2.0128372
14-Dec,1,1,705,10.5,10,-1.0211893
14-Dec,1,1,714,4.5,9,-0.6532125
14-Dec,1,1,365,11,NA,-1.0413927
14-Dec,1,1,399,7,10,-0.845098
14-Dec,1,1,799,67.5,9,-1.8293038
14-Dec,1,1,358,5.5,0,-0.7403627
14-Dec,1,1,774,63.5,9,-1.8027737
14-Dec,1,1,379,14,9,-1.146128
14-Dec,1,1,375,14.5,10,-1.161368
14-Dec,1,1,380,30.5,10,-1.4842998
14-Dec,1,1,712,55,7,-1.7403627
14-Dec,1,1,307,7.5,6,-0.8750613
14-Dec,1,1,707,11,8,-1.0413927
14-Dec,1,1,324,64,10,-1.80618
14-Dec,1,1,391,6.5,8,-0.8129134
14-Dec,1,1,437,17,5,-1.2304489
14-Dec,1,1,360,5.5,10,-0.7403627
14-Dec,1,1,517,14,10,-1.146128
14-Dec,1,1,555,26.5,6,-1.4232459
14-Dec,1,1,765,9,8,-0.9542425
14-Dec,1,1,639,18,6,-1.2552725
14-Dec,1,1,357,7.5,5,-0.8750613
14-Dec,1,1,313,5,8,-0.69897
14-Dec,1,1,208,5.5,7,-0.7403627
14-Dec,1,1,820,97,10,-1.9867717
14-Dec,1,1,315,26.5,8,-1.4232459
14-Dec,1,1,301,59.5,8,-1.774517
14-Dec,1,1,335,7,10,-0.845098
14-Dec,1,1,362,109.5,2,-2.0394141
14-Dec,1,1,486,4.5,9,-0.6532125
14-Dec,1,2,705,8,7,-0.90309
14-Dec,1,2,714,5.5,9,-0.7403627
14-Dec,1,2,365,21.5,9,-1.3324385
14-Dec,1,2,399,4.5,9,-0.6532125
14-Dec,1,2,799,115.5,8,-2.062582
14-Dec,1,2,358,8.5,0,-0.9294189
14-Dec,1,2,774,10.5,7,-1.0211893
14-Dec,1,2,379,5,8,-0.69897
14-Dec,1,2,375,4.5,9,-0.6532125
14-Dec,1,2,380,20.5,8,-1.3117539
14-Dec,1,2,712,65,8,-1.8129134
14-Dec,1,2,307,20,8,-1.30103
14-Dec,1,2,707,33,8,-1.5185139
14-Dec,1,2,324,94,NA,-1.9731279
14-Dec,1,2,391,5.5,7,-0.7403627
14-Dec,1,2,437,17,10,-1.2304489
14-Dec,1,2,360,3.5,9,-0.544068
14-Dec,1,2,517,120,8,-2.0791812
14-Dec,1,2,555,37,7,-1.5682017
14-Dec,1,2,765,10.5,8,-1.0211893
14-Dec,1,2,639,24,6,-1.3802112
14-Dec,1,2,357,7.5,10,-0.8750613
14-Dec,1,2,313,42,10,-1.6232493
14-Dec,1,2,208,12.5,9,-1.09691
14-Dec,1,2,820,102,10,-2.0086002
14-Dec,1,2,315,7,10,-0.845098
14-Dec,1,2,301,9,9,-0.9542425
14-Dec,1,2,335,11.5,8,-1.0606978
14-Dec,1,2,362,92.5,9,-1.9661417
14-Dec,1,2,486,9.5,9,-0.9777236
28-Dec,2,1,360,6.5,10,-0.8129134
28-Dec,2,1,820,52,10,-1.7160033
28-Dec,2,1,315,7.5,7,-0.8750613
28-Dec,2,1,358,6,7,-0.7781513
28-Dec,2,1,313,11.5,10,-1.0606978
28-Dec,2,1,774,3.5,10,-0.544068
28-Dec,2,1,714,15.5,9,-1.1903317
28-Dec,2,1,639,10,7,-1
28-Dec,2,1,555,85,7,-1.9294189
28-Dec,2,1,427,19,9,-1.2787536
28-Dec,2,1,799,13.5,10,-1.1303338
28-Dec,2,1,765,10.5,8,-1.0211893
28-Dec,2,1,707,17.5,7,-1.243038
28-Dec,2,1,437,21.5,8,-1.3324385
28-Dec,2,1,365,9,9,-0.9542425
28-Dec,2,1,357,14.5,9,-1.161368
28-Dec,2,1,380,52.5,1,-1.7201593
28-Dec,2,1,705,34.5,8,-1.5378191
28-Dec,2,1,307,15.5,2,-1.1903317
28-Dec,2,1,304,16.5,9,-1.2174839
28-Dec,2,1,517,120,9,-2.0791812
28-Dec,2,1,399,9.5,10,-0.9777236
28-Dec,2,1,375,7.5,9,-0.8750613
28-Dec,2,1,730,38,6,-1.5797836
28-Dec,2,1,379,20.5,7,-1.3117539
28-Dec,2,1,335,32.5,4,-1.5118834
28-Dec,2,1,324,15.5,10,-1.1903317
28-Dec,2,1,486,5.5,10,-0.7403627
28-Dec,2,1,391,42,8,-1.6232493
28-Dec,2,1,362,35.5,10,-1.5502284
28-Dec,2,1,208,6.5,10,-0.8129134
28-Dec,2,1,301,19,9,-1.2787536
28-Dec,2,1,712,16.5,8,-1.2174839
28-Dec,2,2,360,10,9,-1
28-Dec,2,2,820,120,6,-2.0791812
28-Dec,2,2,315,100,6,-2
28-Dec,2,2,358,7.5,8,-0.8750613
28-Dec,2,2,313,19,10,-1.2787536
28-Dec,2,2,774,35.5,10,-1.5502284
28-Dec,2,2,714,8,8,-0.90309
28-Dec,2,2,639,111.5,3,-2.0472749
28-Dec,2,2,555,47.5,6,-1.6766936
28-Dec,2,2,427,10,9,-1
28-Dec,2,2,799,120,8,-2.0791812
28-Dec,2,2,765,22,8,-1.3424227
28-Dec,2,2,707,75.5,8,-1.877947
28-Dec,2,2,437,28,9,-1.447158
28-Dec,2,2,365,38.5,10,-1.5854607
28-Dec,2,2,357,20,7,-1.30103
28-Dec,2,2,380,27,10,-1.4313638
28-Dec,2,2,705,36.5,7,-1.5622929
