"","bycol","Code","trt","day","RAL","weight.5.flies","TAG_glycerol"
"1","10AAh1","10AA","a","a","RAL_786",1.08333333333333,74.2614852214866
"2","10AAh2","10AA","a","a","RAL_786",1.08333333333333,59.3612816218091
"3","10AAh3","10AA","a","a","RAL_786",1.08333333333333,85.4353935286248
"4","10ABe10","10AB","b","a","RAL_786",1.141,43.1771797774648
"5","10ABe11","10AB","b","a","RAL_786",1.141,57.5708464479974
"6","10ABe9","10AB","b","a","RAL_786",1.141,48.4205778686093
"7","10BAf1","10BA","a","b","RAL_340",1.25833333333333,116.327415355101
"8","10BAf2","10BA","a","b","RAL_340",1.25833333333333,107.222064861015
"9","10BAf3","10BA","a","b","RAL_340",1.25833333333333,121.574993519575
"10","10CAg4","10CA","a","c","RAL_105",0.996,53.7721392779263
"11","10CAg5","10CA","a","c","RAL_105",0.996,44.1736120064053
"12","10CAg6","10CA","a","c","RAL_105",0.996,58.4211271865663
"13","10CBf7","10CB","b","c","RAL_105",0.983666666666667,27.0965436659697
"14","10CBf8","10CB","b","c","RAL_105",0.983666666666667,54.3772736921381
"15","10CBf9","10CB","b","c","RAL_105",0.983666666666667,32.5862693453387
"16","10DAf7","10DA","a","d","RAL_223",1.39066666666667,197.268563585546
"17","10DAf8","10DA","a","d","RAL_223",1.39066666666667,183.011845736561
"18","10DAf9","10DA","a","d","RAL_223",1.39066666666667,203.575226296403
"19","10DBe10","10DB","b","d","RAL_223",1.49227777833333,152.844070464445
"20","10DBe11","10DB","b","d","RAL_223",1.49227777833333,180.475370252941
"21","10DBe12","10DB","b","d","RAL_223",1.49227777833333,173.724500860238
"22","10EAg1","10EA","a","e","RAL_801",1.16333333333333,61.3487516839753
"23","10EAg2","10EA","a","e","RAL_801",1.16333333333333,74.7345063992477
"24","10EAg3","10EA","a","e","RAL_801",1.16333333333333,58.5562498966631
"25","10EBe4","10EB","b","e","RAL_801",1.23366666666667,46.3144807235885
"26","10EBe5","10EB","b","e","RAL_801",1.23366666666667,60.7370489113152
"27","10EBe6","10EB","b","e","RAL_801",1.23366666666667,62.7327180567959
"28","11ABg10","11AB","b","a","RAL_861",1.203,58.8998884915904
"29","11ABg11","11AB","b","a","RAL_861",1.203,62.7214873596401
"30","11ABg9","11AB","b","a","RAL_861",1.203,71.8140721959559
"31","11CAd7","11CA","a","c","RAL_360",1.25966666666667,84.4109295694503
"32","11CAd8","11CA","a","c","RAL_360",1.25966666666667,77.1136560060142
