"","RAL","wolb","weight.5.flies","trt","day","PC1","PC2","PC3","Code"
"1","RAL_105","n",0.985,"a","c",0.8007566623,-0.670900444,0.7110521943,"10CA"
"2","RAL_105","n",1.013,"b","c",0.8007566623,-0.670900444,0.7110521943,"10CB"
"3","RAL_105","n",0.98,"a","c",0.8007566623,-0.670900444,0.7110521943,"10CA"
"4","RAL_105","n",1.023,"a","c",0.8007566623,-0.670900444,0.7110521943,"10CA"
"5","RAL_105","n",1.016,"b","c",0.8007566623,-0.670900444,0.7110521943,"10CB"
"6","RAL_105","n",0.922,"b","c",0.8007566623,-0.670900444,0.7110521943,"10CB"
"7","RAL_109","n",1.172,"b","b",-2.0454221641,1.492135188,3.8699410551,"6BB"
"8","RAL_109","n",1.104,"b","b",-2.0454221641,1.492135188,3.8699410551,"6BB"
"9","RAL_109","n",1.195,"a","b",-2.0454221641,1.492135188,3.8699410551,"6BA"
"10","RAL_109","n",1.067,"b","b",-2.0454221641,1.492135188,3.8699410551,"6BB"
"11","RAL_109","n",1.15,"a","b",-2.0454221641,1.492135188,3.8699410551,"6BA"
"12","RAL_109","n",1.082,"a","b",-2.0454221641,1.492135188,3.8699410551,"6BA"
"13","RAL_129","n",1.13,"b","e",2.5880903878,-1.3007959314,1.3207576032,"28EB"
"14","RAL_129","n",1.17,"a","e",2.5880903878,-1.3007959314,1.3207576032,"28EA"
"15","RAL_129","n",1.064,"a","e",2.5880903878,-1.3007959314,1.3207576032,"28EA"
"16","RAL_129","n",1.112,"a","e",2.5880903878,-1.3007959314,1.3207576032,"28EA"
"17","RAL_136","y",1.205,"a","b",2.4089939227,2.7428057063,0.2064697447,"26BA"
"18","RAL_136","y",1.162,"a","b",2.4089939227,2.7428057063,0.2064697447,"26BA"
"19","RAL_136","y",1.245,"b","b",2.4089939227,2.7428057063,0.2064697447,"26BB"
"20","RAL_136","y",1.23,"b","b",2.4089939227,2.7428057063,0.2064697447,"26BB"
"21","RAL_136","y",1.25,"b","b",2.4089939227,2.7428057063,0.2064697447,"26BB"
"22","RAL_136","y",1.191,"a","b",2.4089939227,2.7428057063,0.2064697447,"26BA"
"23","RAL_149","y",1.264,"a","d",4.1715257394,-0.5132467317,3.1698344358,"28DA"
"24","RAL_149","y",1.135,"b","d",4.1715257394,-0.5132467317,3.1698344358,"28DB"
"25","RAL_149","y",1.15,"b","d",4.1715257394,-0.5132467317,3.1698344358,"28DB"
"26","RAL_149","y",1.284,"a","d",4.1715257394,-0.5132467317,3.1698344358,"28DA"
"27","RAL_149","y",1.225,"a","d",4.1715257394,-0.5132467317,3.1698344358,"28DA"
"28","RAL_149","y",1.194,"b","d",4.1715257394,-0.5132467317,3.1698344358,"28DB"
"29","RAL_153","y",1.282,"a","c",2.7654805447,-2.0650878729,1.2230809966,"21CA"
"30","RAL_153","y",1.234,"a","c",2.7654805447,-2.0650878729,1.2230809966,"21CA"
"31","RAL_153","y",1.208,"a","c",2.7654805447,-2.0650878729,1.2230809966,"21CA"
"32","RAL_153","y",1.38,"b","c",2.7654805447,-2.0650878729,1.2230809966,"21CB"
