"","X","RAL","wolb","Code","feeding","trt","day","weight.5.flies"
"1",1,"RAL_105","n","10CA",4.460555556,"a","c",0.996
"2",2,"RAL_105","n","10CA",4.598333333,"a","c",0.996
"3",3,"RAL_105","n","10CA",4.7895,"a","c",0.996
"4",4,"RAL_105","n","10CB",7.041428571,"b","c",0.9836666667
"5",5,"RAL_105","n","10CB",5.27,"b","c",0.9836666667
"6",6,"RAL_105","n","10CB",5.314285714,"b","c",0.9836666667
"7",7,"RAL_109","n","6BA",2.6505,"a","b",1.1423333333
"8",8,"RAL_109","n","6BA",2.5885,"a","b",1.1423333333
"9",9,"RAL_109","n","6BA",1.9685,"a","b",1.1423333333
"10",10,"RAL_109","n","6BB",3.348,"b","b",1.1143333333
"11",11,"RAL_109","n","6BB",2.959090909,"b","b",1.1143333333
"12",12,"RAL_109","n","6BB",2.294,"b","b",1.1143333333
"13",13,"RAL_129","n","28EA",3.6425,"a","e",1.1153333333
"14",14,"RAL_136","y","26BB",3.3325,"b","b",1.2416666667
"16",16,"RAL_149","y","28DA",1.3485,"a","d",1.2576666667
"17",17,"RAL_149","y","28DB",3.3325,"b","d",1.1596666667
"18",18,"RAL_149","y","28DA",1.9065,"a","d",1.2576666667
"19",19,"RAL_149","y","28DA",2.17,"a","d",1.2576666667
"20",20,"RAL_149","y","28DB",4.03,"b","d",1.1596666667
"21",21,"RAL_149","y","28DB",2.238888889,"b","d",1.1596666667
"22",22,"RAL_153","y","21CA",3.048333333,"a","c",1.2413333333
"23",23,"RAL_153","y","21CA",2.6815,"a","c",1.2413333333
"24",24,"RAL_158","n","29EA",2.738333333,"a","e",1.269
"25",25,"RAL_161","n","17AB",7.75,"b","a",1.0103333333
"26",26,"RAL_161","n","17AA",3.999,"a","a",0.9246666667
"27",27,"RAL_176","y","7CA",1.825555556,"a","c",0.9656666667
"28",28,"RAL_176","y","7CA",2.511,"a","c",0.9656666667
"29",29,"RAL_176","y","7CA",1.457,"a","c",0.9656666667
"31",31,"RAL_208","n","14BA",1.705,"a","b",1.2436666667
"32",32,"RAL_208","n","14BB",2.325,"b","b",1.1876666667
"33",33,"RAL_208","n","14BB",1.798,"b","b",1.1876666667
"34",34,"RAL_208","n","14BA",2.232,"a","b",1.2436666667
"35",35,"RAL_208","n","14BB",2.79,"b","b",1.1876666667
"36",36,"RAL_217","n","33DB",4.588,"b","d",1.0356666667
"37",37,"RAL_217","n","33DA",4.7275,"a","d",1.0473333333
"38",38,"RAL_217","n","33DA",3.534,"a","d",1.0473333333
"39",39,"RAL_217","n","33DA",5.89,"a","d",1.0473333333
"40",40,"RAL_223","y","10DA",3.255,"a","d",1.3906666667
"41",41,"RAL_223","y","10DB",3.007,"b","d",1.4922777783
"42",42,"RAL_223","y","10DA",3.547777778,"a","d",1.3906666667
"43",43,"RAL_223","y","10DB",2.858888889,"b","d",1.4922777783
"44",44,"RAL_223","y","10DB",2.883,"b","d",1.4922777783
"45",45,"RAL_223","y","10DA",4.65,"a","d",1.3906666667
"46",46,"RAL_228","n","5AA",3.193,"a","a",1.025
"47",47,"RAL_228","n","5AB",4.06875,"b","a",1.153
"48",48,"RAL_228","n","5AA",3.8595,"a","a",1.025
"49",49,"RAL_228","n","5AA",4.359375,"a","a",1.025
"50",50,"RAL_228","n","5AB",3.240909091,"b","a",1.153
"51",51,"RAL_235","y","27BB",2.307777778,"b","b",1.2613333333
"52",52,"RAL_235","y","27BB",2.883,"b","b",1.2613333333
"53",53,"RAL_235","y","27BB",1.581,"b","b",1.2613333333
"54",54,"RAL_235","y","27BA",3.162,"a","b",1.1403333333
"55",55,"RAL_237","y","19EA",4.718888889,"a","e",1.1353333333
"56",56,"RAL_237","y","19EA",3.379,"a","e",1.1353333333
"57",57,"RAL_237","y","19EB",3.503,"b","e",1.1503333333
"58",58,"RAL_237","y","19EA",3.658,"a","e",1.1353333333
"59",59,"RAL_237","y","19EB",4.805,"b","e",1.1503333333
"60",60,"RAL_237","y","19EB",4.288333333,"b","e",1.1503333333
"61",61,"RAL_239","n","8AA",3.846818182,"a","a",1.1913333333
"62",62,"RAL_239","n","8AB",3.472,"b","a",1.2702222217
"63",63,"RAL_239","n","8AA",4.309,"a","a",1.1913333333
"64",64,"RAL_239","n","8AA",3.472,"a","a",1.1913333333
"65",65,"RAL_239","n","8AB",4.477777778,"b","a",1.2702222217
"66",66,"RAL_239","n","8AB",3.5805,"b","a",1.2702222217
"67",67,"RAL_26","n","5BB",3.995555556,"b","b",1.2386666667
"68",68,"RAL_26","n","5BB",3.5185,"b","b",1.2386666667
"69",69,"RAL_26","n","5BA",5.766,"a","b",1.0923333333
"70",70,"RAL_26","n","5BB",2.4025,"b","b",1.2386666667
"71",71,"RAL_28","n","22AB",2.852,"b","a",1.2573333333
"72",72,"RAL_28","n","22AA",2.1545,"a","a",1.225
"73",73,"RAL_28","n","22AA",2.201,"a","a",1.225
"74",74,"RAL_28","n","22AB",1.446666667,"b","a",1.2573333333
"75",75,"RAL_28","n","22AA",2.728,"a","a",1.225
"76",76,"RAL_28","n","22AB",2.635,"b","a",1.2573333333
"77",77,"RAL_280","y","2BB",3.8285,"b","b",1.2373333333
"78",78,"RAL_280","y","2BB",4.1385,"b","b",1.2373333333
"79",79,"RAL_303","n","34AB",3.4875,"b","a",1.2753333333
"80",80,"RAL_303","n","34AB",1.756666667,"b","a",1.2753333333
"81",81,"RAL_304","y","8BA",2.103571429,"a","b",1.3703333333
"82",82,"RAL_309","n","21DA",3.476428571,"a","d",1.224
"83",83,"RAL_309","n","21DA",3.751,"a","d",1.224
"84",84,"RAL_309","n","21DA",5.183888889,"a","d",1.224
"85",85,"RAL_318","y","15DA",3.2705,"a","d",1.1533333333
"86",86,"RAL_318","y","15DA",2.3405,"a","d",1.1533333333
"87",87,"RAL_318","y","15DB",2.3095,"b","d",1.368
"88",88,"RAL_318","y","15DB",2.263,"b","d",1.368
"89",89,"RAL_318","y","15DA",2.4335,"a","d",1.1533333333
"90",90,"RAL_318","y","15DB",1.928888889,"b","d",1.368
"91",93,"RAL_321","y","21EB",5.1615,"b","e",1.204
"92",94,"RAL_321","y","21EB",3.379,"b","e",1.204
"93",96,"RAL_321","y","21EB",3.210714286,"b","e",1.204
