"","RAL","wolb","Code","trt","day","glucose","weight.5.flies"
"1","RAL_105","n","10CB","b","c",10.7553695300783,0.983666666666667
"2","RAL_105","n","10CB","b","c",9.07903844114185,0.983666666666667
"3","RAL_105","n","10CB","b","c",11.6494127775111,0.983666666666667
"4","RAL_105","n","10CA","a","c",15.0020749553841,0.996
"5","RAL_105","n","10CA","a","c",16.9019168561787,0.996
"6","RAL_105","n","10CA","a","c",22.4896871526336,0.996
"7","RAL_109","n","6BA","a","b",14.4432979257386,1.14233333333333
"8","RAL_109","n","6BB","b","b",11.7611681834402,1.11433333333333
"9","RAL_109","n","6BA","a","b",16.6784060443205,1.14233333333333
"10","RAL_109","n","6BB","b","b",12.9904776486603,1.11433333333333
"11","RAL_109","n","6BB","b","b",16.119629014675,1.11433333333333
"12","RAL_109","n","6BA","a","b",20.7016006577681,1.14233333333333
"13","RAL_129","n","28EB","b","e",9.30254925300005,1.13
"14","RAL_129","n","28EB","b","e",11.8729235893693,1.13
"15","RAL_129","n","28EA","a","e",12.4317006190148,1.11533333333333
"16","RAL_129","n","28EA","a","e",15.1138303613132,1.11533333333333
"17","RAL_129","n","28EA","a","e",11.3141465597238,1.11533333333333
"18","RAL_129","n","28EB","b","e",11.9846789952984,1.13
"19","RAL_136","y","26BB","b","b",17.4606938858242,1.24166666666667
"20","RAL_136","y","26BB","b","b",16.7901614502496,1.24166666666667
"21","RAL_136","y","26BA","a","b",21.5956439052008,1.186
"22","RAL_136","y","26BA","a","b",12.3199452130857,1.186
"23","RAL_136","y","26BA","a","b",17.1254276680369,1.186
"24","RAL_136","y","26BB","b","b",15.1138303613132,1.24166666666667
"25","RAL_149","y","28DA","a","d",22.6014425585627,1.25766666666667
"26","RAL_149","y","28DB","b","d",12.5434560249439,1.15966666666667
"27","RAL_149","y","28DB","b","d",18.354737133257,1.15966666666667
"28","RAL_149","y","28DA","a","d",27.0716587957266,1.25766666666667
"29","RAL_149","y","28DB","b","d",29.5302777261668,1.15966666666667
"30","RAL_149","y","28DA","a","d",23.1602195882082,1.25766666666667
"31","RAL_153","y","21CA","a","c",15.7843627968877,1.24133333333333
"32","RAL_153","y","21CA","a","c",18.9135141629025,1.24133333333333
"33","RAL_153","y","21CA","a","c",16.9019168561787,1.24133333333333
"34","RAL_153","y","21CB","b","c",15.5608519850295,1.38
"35","RAL_153","y","21CB","b","c",13.8845208960931,1.38
"36","RAL_153","y","21CB","b","c",10.5318587182201,1.38
"37","RAL_158","n","29EB","b","e",20.2545790340517,1.31733333333333
"38","RAL_158","n","29EA","a","e",19.2487803806898,1.269
"39","RAL_158","n","29EA","a","e",20.589845251839,1.269
"40","RAL_158","n","29EA","a","e",15.6726073909586,1.269
"41","RAL_158","n","29EB","b","e",18.354737133257,1.31733333333333
