DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_913,Exp 1,18,0,18
line_911,Exp 1,8,8,0
line_908,Exp 1,17,16,1
line_907,Exp 1,20,5,15
line_900,Exp 1,19,19,0
line_897,Exp 1,16,4,12
line_894,Exp 1,9,8,1
line_892,Exp 1,17,15,2
line_890,Exp 1,12,12,0
line_887,Exp 1,14,14,0
line_884,Exp 1,18,18,0
line_882,Exp 1,13,13,0
line_879,Exp 1,13,2,11
line_861,Exp 1,8,8,0
line_859,Exp 1,18,15,3
line_857,Exp 1,10,10,0
line_855,Exp 1,8,8,0
line_853,Exp 1,11,8,3
line_852,Exp 1,,,
line_850,Exp 1,15,15,0
line_849,Exp 1,,,
line_843,Exp 1,18,0,18
line_837,Exp 1,,,
line_832,Exp 1,15,8,7
line_822,Exp 1,20,13,7
line_821,Exp 1,12,9,3
line_820,Exp 1,17,16,1
line_819,Exp 1,,,
line_818,Exp 1,14,14,0
line_812,Exp 1,16,16,0
line_810,Exp 1,12,0,12
line_808,Exp 1,19,13,6
line_805,Exp 1,6,6,0
line_804,Exp 1,5,5,0
line_802,Exp 1,10,10,0
line_801,Exp 1,13,13,0
line_799,Exp 1,19,16,3
line_796,Exp 1,9,0,9
line_790,Exp 1,19,0,19
line_787,Exp 1,18,10,8
line_786,Exp 1,20,3,17
line_783,Exp 1,12,9,3
line_776,Exp 1,14,4,10
line_774,Exp 1,14,4,10
line_765,Exp 1,20,20,0
line_761,Exp 1,22,22,0
line_757,Exp 1,14,2,12
line_748,Exp 1,19,14,5
line_738,Exp 1,20,20,0
line_737,Exp 1,8,7,1
line_732,Exp 1,18,18,0
line_730,Exp 1,15,2,13
line_727,Exp 1,13,13,0
line_721,Exp 1,,,
line_716,Exp 1,8,8,0
line_714,Exp 1,15,10,5
line_712,Exp 1,20,0,20
line_707,Exp 1,15,15,0
line_705,Exp 1,15,0,15
line_703,Exp 1,20,20,0
line_646,Exp 1,,,
line_642,Exp 1,,,
line_639,Exp 1,,,
line_634,Exp 1,,,
