DGRP_lines,Experiment,Hour_of_death,Censor
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_913,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_911,Experiment_1,48,0
line_908,Experiment_1,11,1
line_908,Experiment_1,48,1
line_908,Experiment_1,48,1
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_908,Experiment_1,48,0
line_907,Experiment_1,2.5,1
line_907,Experiment_1,2.5,1
line_907,Experiment_1,2.5,1
line_907,Experiment_1,5,1
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_907,Experiment_1,48,0
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,2.5,1
line_900,Experiment_1,5,1
line_900,Experiment_1,5,1
line_900,Experiment_1,5,1
line_900,Experiment_1,5,1
line_900,Experiment_1,5,1
line_900,Experiment_1,5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_897,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_894,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,2.5,1
line_892,Experiment_1,5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,2.5,1
line_890,Experiment_1,5,1
line_890,Experiment_1,5,1
line_890,Experiment_1,5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_887,Experiment_1,2.5,1
line_884,Experiment_1,5,1
line_884,Experiment_1,48,0
line_884,Experiment_1,48,0
line_884,Experiment_1,48,0
line_884,Experiment_1,48,0
line_884,Experiment_1,48,0
line_884,Experiment_1,48,0
