line,Sex,Lifespan_hrs
RAL-228,Male,37.0583333
RAL-228,Male,73.1
RAL-228,Male,73.1
RAL-228,Male,73.1
RAL-228,Male,85.0916667
RAL-228,Male,96.7666667
RAL-228,Male,108.758333
RAL-228,Male,108.758333
RAL-228,Male,108.758333
RAL-228,Male,108.758333
RAL-228,Male,145.233333
RAL-810,Female,108.733333
RAL-810,Female,108.733333
RAL-810,Female,108.733333
RAL-810,Female,108.733333
RAL-810,Female,122.041667
RAL-810,Female,134.058333
RAL-810,Female,134.058333
RAL-810,Female,134.058333
RAL-810,Female,134.058333
RAL-810,Female,134.058333
RAL-589,Female,157.258333
RAL-589,Female,157.258333
RAL-589,Female,170.316667
RAL-589,Female,170.316667
RAL-589,Female,183.175
RAL-589,Female,183.175
RAL-589,Female,183.175
RAL-589,Female,183.175
RAL-589,Female,209.308333
RAL-589,Female,209.308333
RAL-360,Male,73.15
RAL-360,Male,85.1333333
RAL-360,Male,96.8083333
RAL-360,Male,96.8083333
RAL-360,Male,96.8083333
RAL-360,Male,96.8083333
RAL-360,Male,108.791667
RAL-360,Male,108.791667
RAL-360,Male,122.108333
RAL-359,Female,122.075
RAL-359,Female,134.091667
RAL-359,Female,134.091667
RAL-359,Female,134.091667
RAL-359,Female,134.091667
RAL-359,Female,145.241667
RAL-359,Female,145.241667
RAL-359,Female,145.241667
RAL-359,Female,145.241667
RAL-359,Female,157.275
RAL-310,Female,108.783333
RAL-310,Female,108.783333
RAL-310,Female,122.091667
RAL-310,Female,134.108333
RAL-310,Female,134.108333
RAL-310,Female,134.108333
RAL-310,Female,134.108333
RAL-310,Female,145.266667
RAL-310,Female,145.266667
RAL-310,Female,157.308333
RAL-229,Female,134.158333
RAL-229,Female,145.308333
RAL-229,Female,145.308333
RAL-229,Female,157.341667
RAL-229,Female,157.341667
RAL-229,Female,157.341667
RAL-229,Female,157.341667
RAL-229,Female,157.341667
RAL-229,Female,183.258333
RAL-229,Female,183.258333
RAL-93,Female,108.816667
RAL-93,Female,108.816667
RAL-93,Female,108.816667
RAL-93,Female,134.133333
RAL-93,Female,145.291667
RAL-93,Female,145.291667
RAL-93,Female,157.333333
RAL-93,Female,170.383333
RAL-93,Female,170.383333
RAL-93,Female,170.383333
RAL-315,Male,85.175
RAL-315,Male,108.841667
RAL-315,Male,108.841667
RAL-315,Male,108.841667
RAL-315,Male,108.841667
RAL-315,Male,108.841667
RAL-315,Male,108.841667
RAL-315,Male,122.15
RAL-315,Male,134.166667
RAL-315,Male,145.316667
RAL-181,Female,96.8916667
RAL-181,Female,96.8916667
RAL-181,Female,96.8916667
RAL-181,Female,108.875
RAL-181,Female,108.875
RAL-181,Female,108.875
RAL-181,Female,122.191667
RAL-181,Female,122.191667
RAL-181,Female,122.191667
RAL-181,Female,134.183333
RAL-853,Male,37.15
RAL-853,Male,37.15
RAL-853,Male,37.15
RAL-853,Male,85.1833333
RAL-853,Male,85.1833333
RAL-853,Male,85.1833333
RAL-853,Male,85.1833333
RAL-853,Male,96.8666667
RAL-853,Male,96.8666667
RAL-853,Male,108.858333
RAL-774,Male,85.2
RAL-774,Male,85.2
RAL-774,Male,96.875
RAL-774,Male,96.875
RAL-774,Male,108.866667
RAL-774,Male,108.866667
RAL-774,Male,108.866667
RAL-774,Male,108.866667
RAL-774,Male,122.175
RAL-774,Male,122.175
RAL-850,Female,134.2
RAL-850,Female,134.2
RAL-850,Female,134.2
RAL-850,Female,145.358333
RAL-850,Female,157.433333
RAL-850,Female,157.433333
RAL-850,Female,170.491667
RAL-850,Female,170.491667
RAL-850,Female,170.491667
RAL-850,Female,183.316667
RAL-237,Male,37.0666667
RAL-237,Male,96.7833333
RAL-237,Male,108.766667
RAL-237,Male,108.766667
RAL-237,Male,108.766667
RAL-237,Male,108.766667
RAL-237,Male,108.766667
RAL-237,Male,122.075
RAL-237,Male,122.075
RAL-237,Male,134.083333
