line,Sex,rep,Proportion_alive
21,Female,1,0.7
21,Female,2,0.2
21,Female,3,0.3
21,Female,4,0.77777778
21,Female,5,1
26,Female,1,1
26,Female,2,0.9
26,Female,3,0.88888889
26,Female,4,0.7
26,Female,5,1
28,Female,1,1
28,Female,2,0.875
28,Female,3,1
38,Female,1,0.6
38,Female,2,1
38,Female,3,0.75
38,Female,4,0.75
38,Female,5,0.55555556
40,Female,1,0.6
40,Female,2,0.5
40,Female,3,0.7
40,Female,4,0.625
40,Female,5,0.6
42,Female,1,1
42,Female,2,1
42,Female,3,1
42,Female,4,1
42,Female,5,1
57,Female,1,0.77777778
57,Female,2,0.77777778
57,Female,3,0.9
57,Female,4,0.8
57,Female,5,0.44444444
59,Female,1,0.33333333
59,Female,2,0.22222222
59,Female,3,0.6
59,Female,4,0.5
69,Female,1,0.6
69,Female,2,0.6
69,Female,3,0.55555556
69,Female,4,1
69,Female,5,1
73,Female,1,0.2
73,Female,2,0.25
73,Female,3,0.33333333
73,Female,4,0.5
73,Female,5,0.6
75,Female,1,0.7
75,Female,2,0.7
75,Female,3,1
75,Female,4,0.8
75,Female,5,0.5
83,Female,1,0.75
83,Female,2,0.75
83,Female,3,1
83,Female,4,1
83,Female,5,0.9
85,Female,1,1
85,Female,2,1
85,Female,3,1
85,Female,4,0.8
85,Female,5,1
88,Female,1,0.2
88,Female,2,0.2
88,Female,3,0.2
88,Female,4,0.6
88,Female,5,0.5
91,Female,1,0.5
91,Female,2,0.5
91,Female,3,0.2
91,Female,4,0.7
91,Female,5,0.6
109,Female,1,0.375
109,Female,2,0.3
109,Female,3,0.33333333
109,Female,4,0.66666667
109,Female,5,0.55555556
138,Female,1,0.3
138,Female,2,0.9
138,Female,3,0.71428571
138,Female,4,1
138,Female,5,1
142,Female,1,0.9
142,Female,2,0.8
142,Female,3,1
142,Female,4,0.77777778
149,Female,1,0.8
149,Female,2,0.66666667
149,Female,3,0.875
149,Female,4,1
158,Female,1,0.1
158,Female,2,0.4
158,Female,3,0.2
158,Female,4,0.4
158,Female,5,0.4
161,Female,1,0.88888889
161,Female,2,0.1
161,Female,3,0.44444444
161,Female,4,0.3
161,Female,5,0.5
189,Female,1,1
189,Female,2,1
189,Female,3,0.8
189,Female,4,1
208,Female,1,0.8
208,Female,2,1
208,Female,3,0.875
208,Female,4,0.9
208,Female,5,0.9
217,Female,1,0.75
217,Female,2,0.1
217,Female,3,0.125
217,Female,4,0.33333333
217,Female,5,0.33333333
227,Female,1,0.125
227,Female,2,0.1
227,Female,3,0
227,Female,4,0.11111111
227,Female,5,0.1
228,Female,1,1
228,Female,2,0.66666667
228,Female,3,0.44444444
228,Female,4,0.6
228,Female,5,0.4
229,Female,1,0.9
229,Female,2,0.8
229,Female,3,1
233,Female,1,0.375
233,Female,2,0.16666667
233,Female,3,0.6
233,Female,4,0.4
235,Female,1,0.44444444
235,Female,2,0.5
235,Female,3,0.4
235,Female,4,0.2
235,Female,5,0.25
237,Female,1,0.9
237,Female,2,0.4
237,Female,3,0.66666667
237,Female,4,1
237,Female,5,0.3
239,Female,1,0.88888889
239,Female,2,0.9
239,Female,3,0.88888889
239,Female,4,1
239,Female,5,0.9
256,Female,1,0.8
256,Female,2,1
256,Female,3,0.8
256,Female,4,1
280,Female,1,0
280,Female,2,0
280,Female,3,0.1
280,Female,4,0.3
280,Female,5,0
287,Female,1,1
287,Female,2,1
287,Female,3,0.71428571
287,Female,4,0.7
301,Female,1,0.3
301,Female,2,0
301,Female,3,0
301,Female,4,0.1
301,Female,5,0
303,Female,1,1
303,Female,2,1
303,Female,3,1
303,Female,4,0.9
303,Female,5,1
304,Female,1,1
304,Female,2,0.6
304,Female,3,0.88888889
304,Female,4,1
304,Female,5,0.5
307,Female,1,0.14285714
307,Female,2,0.11111111
307,Female,3,0
307,Female,4,0
307,Female,5,0.3
310,Female,1,0.9
310,Female,2,0.88888889
310,Female,3,0.7
310,Female,4,0.8
310,Female,5,0.7
313,Female,1,1
313,Female,2,0.5
313,Female,3,0.2
313,Female,4,0.42857143
315,Female,1,0.66666667
315,Female,2,0.8
315,Female,3,0.9
315,Female,4,1
318,Female,1,1
318,Female,2,1
318,Female,3,1
318,Female,4,1
318,Female,5,1
320,Female,1,0.4
320,Female,2,0
320,Female,3,0.3
320,Female,4,0
320,Female,5,0.4
321,Female,1,0.22222222
321,Female,2,0.1
321,Female,3,0.3
321,Female,4,0.44444444
321,Female,5,0.5
324,Female,1,0.83333333
324,Female,2,1
324,Female,3,0.33333333
324,Female,4,0.88888889
324,Female,5,0.4
332,Female,1,0.9
332,Female,2,0.88888889
332,Female,3,0.77777778
335,Female,1,0.8
