dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
149,L,1,20,0,,,20,0,0,0
149,L,2,20,4,,,16,0.2,2,2
149,L,3,20,6,,,14,0.3,3,3
149,L,4,20,5,,,15,0.25,2,3
149,L,5,20,9,,,11,0.45,4,5
208,L,1,20,0,,,20,0,0,0
208,L,2,20,1,,,19,0.05,1,0
208,L,3,20,1,,,19,0.05,0,1
208,L,4,20,5,,,15,0.25,5,0
301,L,1,20,0,,,20,0,0,0
301,L,2,20,8,,,12,0.4,4,4
301,L,3,20,1,,,19,0.05,0,1
301,L,4,20,7,,,13,0.35,1,6
301,L,5,20,6,,,14,0.3,6,0
303,L,1,20,1,,,19,0.05,1,0
303,L,2,20,5,,,15,0.25,3,2
303,L,3,20,6,,,14,0.3,1,5
303,L,4,20,11,,,9,0.55,6,5
303,L,5,20,8,,,12,0.4,4,4
304,L,1,20,0,,,20,0,0,0
304,L,2,20,6,,,14,0.3,5,1
304,L,4,20,3,,,17,0.15,1,2
304,L,5,20,4,,,16,0.2,2,2
307,L,1,20,0,,,20,0,0,0
307,L,2,20,0,,,20,0,0,0
307,L,3,20,2,,,18,0.1,1,1
307,L,4,20,0,,,20,0,0,0
307,L,5,20,0,,,20,0,0,0
313,L,1,0,0,,,-,0,0,0
313,L,3,2,0,,,2,0,0,0
313,L,4,2,0,,,2,0,0,0
315,L,1,20,0,,,20,0,0,0
315,L,2,20,8,,,12,0.4,5,3
315,L,3,20,10,,,10,0.5,6,4
315,L,4,20,10,,,10,0.5,5,5
315,L,5,20,2,,,18,0.1,1,1
335,L,1,9,1,,,8,0.111111111,1,0
335,L,2,20,2,,,18,0.1,2,0
335,L,3,20,2,,,18,0.1,1,1
335,L,4,20,7,,,13,0.35,4,3
335,L,5,20,0,,,20,0,0,0
356,L,1,20,0,,,20,0,0,0
356,L,2,20,6,,,14,0.3,4,2
356,L,3,20,3,,,17,0.15,3,0
356,L,4,20,4,,,16,0.2,4,0
