dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
149,L,1,20,10,,,10,0.5,5,5
149,L,2,20,1,,,19,0.05,1,0
149,L,3,20,13,,,7,0.65,6,7
149,L,4,20,9,,,11,0.45,3,6
149,L,5,20,2,,,18,0.1,2,0
208,L,1,20,6,,,14,0.3,3,3
208,L,2,20,10,,,10,0.5,5,5
208,L,3,20,5,,,15,0.25,3,2
208,L,4,20,10,,,10,0.5,6,4
208,L,5,20,11,,,9,0.55,5,6
301,L,1,20,0,,,20,0,0,0
301,L,2,20,3,,,17,0.15,0,3
301,L,3,20,6,,,14,0.3,1,5
301,L,4,20,0,,,20,0,0,0
301,L,5,20,4,,,16,0.2,3,1
303,L,1,20,16,,,4,0.8,8,8
303,L,2,20,5,,,15,0.25,3,2
303,L,3,20,4,,,16,0.2,2,2
303,L,4,20,5,,,15,0.25,3,2
303,L,5,20,4,,,16,0.2,4,0
304,L,1,20,4,,,16,0.2,2,2
304,L,2,20,1,,,19,0.05,1,0
304,L,3,20,3,,,17,0.15,1,2
304,L,4,20,4,,,16,0.2,1,3
304,L,5,20,4,,,16,0.2,2,2
307,L,1,20,0,,,20,0,0,0
307,L,2,20,0,,,20,0,0,0
307,L,3,20,0,,,20,0,0,0
307,L,4,20,0,,,20,0,0,0
307,L,5,20,0,,,20,0,0,0
313,L,1,20,9,,,11,0.45,8,1
313,L,2,20,6,,,14,0.3,2,4
313,L,3,20,8,,,12,0.4,2,6
313,L,4,20,6,,,14,0.3,3,3
313,L,5,20,11,,,9,0.55,5,6
315,L,1,20,14,,,6,0.7,5,9
315,L,2,20,7,,,13,0.35,2,5
315,L,3,20,17,,,3,0.85,7,10
315,L,4,20,15,,,5,0.75,6,9
315,L,5,20,17,,,3,0.85,9,8
335,L,1,20,6,,,14,0.3,2,4
335,L,2,20,2,,,18,0.1,2,0
335,L,3,20,0,,,20,0,0,0
335,L,4,20,6,,,14,0.3,3,3
335,L,5,20,3,,,17,0.15,2,1
356,L,1,20,6,,,14,0.3,3,3
356,L,2,20,0,,,20,0,0,0
356,L,3,20,3,,,17,0.15,2,1
356,L,4,20,8,,,12,0.4,4,4
356,L,5,20,6,,,14,0.3,1,5
357,L,1,20,5,,,15,0.25,3,2
357,L,2,20,8,,,12,0.4,1,7
357,L,3,20,14,,,6,0.7,7,7
357,L,4,20,12,,,8,0.6,6,6
357,L,5,20,14,,,6,0.7,9,5
358,L,1,20,11,,,9,0.55,5,6
358,L,2,20,10,,,10,0.5,4,6
358,L,3,20,4,,,16,0.2,0,4
358,L,4,20,6,,,14,0.3,3,3
358,L,5,20,8,,,12,0.4,3,5
360,L,1,20,10,,,10,0.5,2,8
360,L,2,20,9,,,11,0.45,3,6
360,L,3,20,16,,,4,0.8,8,8
360,L,4,20,16,,,4,0.8,8,8
360,L,5,20,18,,,2,0.9,10,8
362,L,1,20,17,,,3,0.85,6,11
362,L,2,20,2,,,18,0.1,1,1
362,L,3,20,1,,,19,0.05,1,0
362,L,4,20,8,,,12,0.4,2,6
362,L,5,20,14,,,6,0.7,7,7
365,L,1,20,1,,,19,0.05,1,0
365,L,2,20,2,,,18,0.1,1,1
365,L,3,20,8,,,12,0.4,4,4
365,L,4,20,14,,,6,0.7,7,7
365,L,5,20,5,,,15,0.25,5,0
375,L,1,20,0,,,20,0,0,0
375,L,2,20,1,,,19,0.05,0,1
375,L,3,20,2,,,18,0.1,1,1
375,L,4,20,4,,,16,0.2,2,2
375,L,5,20,4,,,16,0.2,0,4
380,L,1,20,3,,,17,0.15,1,2
380,L,2,20,1,,,19,0.05,0,1
380,L,3,20,3,,,17,0.15,1,2
380,L,4,20,3,,,17,0.15,1,2
380,L,5,20,1,,,19,0.05,1,0
391,L,1,20,0,,,20,0,0,0
391,L,2,20,0,,,20,0,0,0
391,L,3,20,4,,,16,0.2,2,2
391,L,4,20,12,,,8,0.6,5,7
391,L,5,20,1,,,19,0.05,0,1
399,L,1,20,4,,,16,0.2,2,2
399,L,2,20,10,,,10,0.5,3,7
399,L,3,20,4,,,16,0.2,0,4
399,L,4,20,10,,,10,0.5,6,4
399,L,5,20,10,,,10,0.5,5,5
427,L,1,20,6,,,14,0.3,3,3
427,L,2,20,5,,,15,0.25,2,3
427,L,3,20,2,,,18,0.1,0,2
427,L,4,20,13,,,7,0.65,6,7
427,L,5,20,7,,,13,0.35,4,3
437,L,1,20,8,,,12,0.4,4,4
437,L,2,20,3,,,17,0.15,1,2
437,L,3,20,13,,,7,0.65,7,6
437,L,4,20,14,,,6,0.7,7,7
437,L,5,20,12,,,8,0.6,4,8
441,L,1,20,3,,,17,0.15,2,1
441,L,2,20,0,,,20,0,0,0
441,L,3,20,15,,,5,0.75,5,10
441,L,4,20,13,,,7,0.65,6,7
441,L,5,20,13,,,7,0.65,6,7
486,L,1,20,0,,,20,0,0,0
486,L,2,20,2,,,18,0.1,1,1
486,L,3,20,3,,,17,0.15,1,2
486,L,4,20,2,,,18,0.1,1,1
486,L,5,20,4,,,16,0.2,2,2
517,L,1,20,15,,,5,0.75,7,8
517,L,2,20,15,,,5,0.75,5,10
517,L,3,20,15,,,5,0.75,8,7
517,L,4,20,17,,,3,0.85,9,8
517,L,5,20,14,,,6,0.7,8,6
555,L,1,20,10,,,10,0.5,5,5
555,L,2,20,12,,,8,0.6,6,6
555,L,3,20,12,,,8,0.6,6,6
555,L,4,20,12,,,8,0.6,5,7
555,L,5,20,15,,,5,0.75,3,12
705,L,1,20,18,,,2,0.9,10,8
705,L,2,20,9,,,11,0.45,5,4
705,L,3,20,14,,,6,0.7,5,9
705,L,4,20,11,,,9,0.55,4,7
705,L,5,20,13,,,7,0.65,5,8
707,L,1,20,8,,,12,0.4,4,4
707,L,2,20,7,,,13,0.35,3,4
707,L,3,20,4,,,16,0.2,2,2
707,L,4,20,13,,,7,0.65,4,9
707,L,5,20,8,,,12,0.4,4,4
712,L,1,20,0,,,20,0,0,0
712,L,2,20,2,,,18,0.1,1,1
712,L,3,20,0,,,20,0,0,0
712,L,4,20,3,,,17,0.15,0,3
712,L,5,20,1,,,19,0.05,0,1
714,L,1,20,0,,,20,0,0,0
714,L,2,20,0,,,20,0,0,0
714,L,3,20,12,,,8,0.6,5,7
714,L,4,20,7,,,13,0.35,3,4
714,L,5,20,5,,,15,0.25,3,2
730,L,1,20,2,,,18,0.1,1,1
730,L,2,20,4,,,16,0.2,2,2
730,L,3,20,3,,,17,0.15,1,2
730,L,4,20,10,,,10,0.5,5,5
730,L,5,20,5,,,15,0.25,2,3
732,L,1,20,8,,,12,0.4,4,4
732,L,2,20,14,,,6,0.7,7,7
732,L,3,20,7,,,13,0.35,3,4
732,L,4,20,10,,,10,0.5,5,5
732,L,5,20,12,,,8,0.6,6,6
786,L,1,20,2,,,18,0.1,1,1
786,L,2,20,0,,,20,0,0,0
786,L,3,20,4,,,16,0.2,1,3
786,L,4,20,2,,,18,0.1,0,2
786,L,5,20,2,,,18,0.1,2,0
799,L,1,20,11,,,9,0.55,6,5
799,L,2,20,13,,,7,0.65,6,7
799,L,3,20,14,,,6,0.7,7,7
799,L,4,20,18,,,2,0.9,9,9
799,L,5,20,17,,,3,0.85,8,9
820,L,1,20,4,,,16,0.2,2,2
820,L,2,20,4,,,16,0.2,3,1
820,L,3,20,5,,,15,0.25,2,3
820,L,4,20,12,,,8,0.6,5,7
820,L,5,20,4,,,16,0.2,4,0
832,L,1,20,4,,,16,0.2,2,2
832,L,2,20,1,,,19,0.05,1,0
832,L,3,20,8,,,12,0.4,5,3
832,L,4,20,5,,,15,0.25,2,3
832,L,5,20,7,,,13,0.35,4,3
852,L,1,20,17,,,3,0.85,10,7
852,L,2,20,8,,,12,0.4,5,3
852,L,3,20,14,,,6,0.7,5,9
852,L,4,20,8,,,12,0.4,4,4
852,L,5,20,12,,,8,0.6,6,6
859,L,1,20,14,,,6,0.7,8,6
859,L,2,20,12,,,8,0.6,6,6
859,L,3,20,13,,,7,0.65,7,6
859,L,4,20,17,,,3,0.85,8,9
859,L,5,20,11,,,9,0.55,4,7
