Block,Day,Assay,Chamber,Line,Subject,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,SUM,no_move,move,orient_female,approach,wing,genital_lick,attempt_cop,copulate,sum_court,sum_copulate
1,1,4,2,21,1,2,2,2,5,3,4,3,3,5,3,3,3,3,3,5,3,5,3,3,5,3,3,1,1,2,1,1,1,3,1,85,6,4,14,1,5,0,0,0,5,0
1,3,2,1,21,3,2,2,5,2,4,5,3,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,57,12,14,1,1,2,0,0,0,2,0
1,13,2,4,21,11,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,28,2,0,0,0,0,0,0,0,0
1,5,1,2,21,5,2,2,2,2,1,2,2,4,2,2,2,2,2,3,2,1,6,7,5,2,4,1,2,3,2,2,2,2,2,2,75,3,20,2,2,1,1,1,0,3,1
1,7,2,10,21,7,2,2,4,4,3,3,1,1,1,3,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,2,1,1,2,50,18,6,4,2,0,0,0,0,0,0
2,17,4,6,26,3,2,2,1,2,2,2,2,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,16,13,0,0,1,0,0,0,1,0
2,24,3,2,26,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,4,2,2,2,2,2,2,2,60,2,27,0,1,0,0,0,0,0,0
2,21,2,4,28,6,2,5,5,2,2,6,6,7,5,5,5,2,5,5,5,5,5,5,4,5,3,7,6,7,5,5,5,5,7,2,143,0,5,1,1,16,3,4,0,23,4
2,23,1,8,28,8,5,5,5,5,2,5,2,5,5,4,4,5,5,5,3,5,5,5,6,5,5,5,3,4,2,2,3,3,5,6,129,0,4,4,3,17,2,0,0,19,0
2,21,1,7,40,6,4,2,5,4,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,4,2,2,1,1,1,2,1,2,57,12,14,0,3,1,0,0,0,1,0
2,26,4,1,41,12,2,2,2,2,2,1,1,2,5,3,3,5,1,1,1,1,5,4,1,1,1,2,2,1,1,1,1,2,1,1,58,15,9,2,1,3,0,0,0,3,0
2,28,4,2,41,13,2,1,2,3,3,5,4,3,2,1,1,1,1,4,7,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,56,19,4,3,2,1,0,1,0,2,1
2,23,1,6,41,9,5,5,2,5,2,4,5,2,4,5,2,2,2,5,4,5,1,5,2,2,2,2,6,5,5,2,5,5,5,5,111,1,11,0,3,14,1,0,0,15,0
2,24,4,7,41,10,2,2,2,2,2,2,2,2,2,1,1,5,2,5,5,5,2,3,5,3,5,3,6,5,5,7,5,5,5,7,108,2,11,3,0,11,1,2,0,14,2
2,15,4,8,42,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,28,2,0,0,0,0,0,0,0,0
2,22,3,3,42,7,2,2,2,2,1,1,2,1,2,2,2,4,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,55,7,22,0,1,0,0,0,0,0,0
2,23,4,7,42,8,2,5,5,3,3,4,3,5,2,2,5,3,5,5,3,2,1,5,2,2,5,3,3,7,3,2,5,2,5,5,107,1,8,8,1,11,0,1,0,12,1
2,15,3,5,45,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,55,5,25,0,0,0,0,0,0,0,0
2,16,3,5,45,2,2,2,2,2,1,2,1,2,2,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,45,16,13,1,0,0,0,0,0,0,0
2,19,4,9,45,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,53,7,23,0,0,0,0,0,0,0,0
