Line,Sex,T1_T2,Expt,Vial,Fly,Femur,Tibia,Tarsus,Total,pc_fe,pc_ti,pc_ta
line_101,F,T2,expt_55,vial_1,fly_3,99.8,111.9,114.8,326.5,30.56661562,34.27258806,35.16079633
line_101,F,T2,expt_55,vial_1,fly_2,99.8,111.5,114.4,325.7,30.64169481,34.23395763,35.12434756
line_101,F,T2,expt_55,vial_3,fly_3,99.1,111.4,114.7,325.2,30.47355474,34.25584256,35.27060271
line_101,F,T2,expt_55,vial_3,fly_1,97.8,112.3,114.8,324.9,30.10156971,34.56448138,35.33394891
line_101,F,T2,expt_55,vial_4,fly_3,97.7,111.1,110.7,319.5,30.57902973,34.77308294,34.64788732
line_101,F,T2,expt_55,vial_4,fly_2,97.7,114.6,114.3,326.6,29.91426822,35.08879363,34.99693815
line_101,F,T2,expt_55,vial_3,fly_2,97,110.5,113.9,321.4,30.18046049,34.38083385,35.43870566
line_101,F,T2,expt_55,vial_2,fly_1,96.7,112.3,116.1,325.1,29.74469394,34.54321747,35.71208859
line_101,F,T2,expt_55,vial_1,fly_1,96.7,110.1,112.2,319,30.31347962,34.51410658,35.17241379
line_101,F,T2,expt_55,vial_2,fly_2,96.5,110.5,111.3,318.3,30.31731071,34.71567703,34.96701225
line_101,F,T2,expt_55,vial_4,fly_1,95.6,108.4,113.1,317.1,30.14821823,34.18479975,35.66698203
line_101,M,T2,expt_55,vial_1,fly_2,95.1,106.3,127.4,328.8,28.92335766,32.3296837,38.74695864
line_101,M,T2,expt_55,vial_4,fly_3,94.9,107,113.1,315,30.12698413,33.96825397,35.90476191
line_101,F,T2,expt_55,vial_2,fly_3,94.6,109.2,111.8,315.6,29.97465146,34.60076046,35.42458809
line_101,M,T2,expt_55,vial_1,fly_3,93.7,107,116.3,317,29.55835962,33.75394322,36.68769716
line_101,M,T2,expt_55,vial_4,fly_2,93,103.1,113.6,309.7,30.02906038,33.29028092,36.6806587
line_101,M,T2,expt_55,vial_3,fly_3,92.6,105.2,113.4,311.2,29.75578406,33.80462725,36.43958869
line_101,M,T2,expt_55,vial_3,fly_1,92.4,104.9,115.8,313.1,29.51133823,33.50367295,36.98498882
line_101,M,T2,expt_55,vial_3,fly_2,92.3,105.6,112.5,310.4,29.73582474,34.02061856,36.2435567
line_101,M,T2,expt_55,vial_1,fly_1,90.9,103.9,114,308.8,29.4365285,33.64637306,36.91709845
line_101,M,T2,expt_55,vial_4,fly_1,89.6,102.3,111.5,303.4,29.531971,33.71786421,36.7501648
line_101,M,T2,expt_55,vial_2,fly_2,86.4,98.9,106.4,291.7,29.61947206,33.90469661,36.47583133
line_101,M,T2,expt_55,vial_2,fly_1,84.2,97.2,105.9,287.3,29.30734424,33.83223112,36.86042464
line_101,M,T2,expt_55,vial_2,fly_3,82.1,94.3,104.2,280.6,29.25873129,33.60655738,37.13471133
line_105,F,T2,expt_55,vial_2,fly_3,93.7,105.6,120.4,319.7,29.30872693,33.03096653,37.66030654
line_105,F,T2,expt_55,vial_3,fly_2,94.2,105.7,123.5,323.4,29.12801484,32.68398268,38.18800247
line_105,F,T2,expt_55,vial_4,fly_2,96.8,111.1,125.2,333.1,29.06034224,33.35334734,37.58631042
line_105,F,T2,expt_55,vial_1,fly_3,93.5,106.6,122.3,322.4,29.0012407,33.06451613,37.93424318
line_105,F,T2,expt_55,vial_4,fly_1,93.4,108.4,124.6,326.4,28.61519608,33.21078431,38.17401961
line_105,F,T2,expt_55,vial_2,fly_2,93.4,105.6,121.9,320.9,29.10564039,32.9074478,37.98691181
line_105,F,T2,expt_55,vial_3,fly_1,93,105.1,123.2,321.3,28.9449113,32.71086212,38.34422658
line_105,F,T2,expt_55,vial_4,fly_3,92.9,106.6,121.6,321.1,28.93179695,33.19838057,37.86982249
line_105,F,T2,expt_55,vial_3,fly_3,92.7,104.1,123,319.8,28.98686679,32.55159475,38.46153846
line_105,F,T2,expt_55,vial_2,fly_1,92.2,105.3,121.7,319.2,28.88471178,32.98872181,38.12656642
line_105,F,T2,expt_55,vial_1,fly_1,90.5,102.2,117.8,310.5,29.14653784,32.91465378,37.93880837
line_105,F,T2,expt_55,vial_1,fly_2,90.2,103.1,115.9,309.2,29.17205692,33.34411384,37.48382924
line_105,M,T2,expt_55,vial_4,fly_2,88.9,102.4,122.9,314.2,28.2940802,32.59070656,39.11521324
line_105,M,T2,expt_55,vial_3,fly_3,87.8,99.5,121.3,308.6,28.45106935,32.24238496,39.30654569
line_105,M,T2,expt_55,vial_1,fly_3,87.2,99.3,122.1,308.6,28.2566429,32.17757615,39.56578095
line_105,M,T2,expt_55,vial_4,fly_1,86.9,101.9,119.5,308.3,28.18683101,33.05222186,38.76094713
line_105,M,T2,expt_55,vial_4,fly_3,85.7,97.1,121,303.8,28.20934826,31.96181699,39.82883476
