line,eye_area
21,31691
21,31133
21,31971
21,30630
21,26104
21,29063
21,23077
21,23231
21,25837
21,31296
21,18735
21,17298
21,26081
21,30517
21,36050
21,22660
21,34666
21,32691
21,40021
21,37606
21,29429
21,40149
21,34681
21,25638
26,33492
26,40686
26,38247
26,27093
26,42646
26,25716
26,46277
26,39207
26,26517
26,32665
26,43475
26,34174
26,34902
26,31441
26,33979
26,32982
26,36244
26,27874
26,20465
28,30664
28,48104
28,49537
28,46231
28,43798
28,34874
28,37298
28,37675
28,32618
28,50045
28,50416
28,43813
28,37572
28,36248
28,34133
38,57231
38,44266
38,30842
38,50098
38,57982
38,39685
38,48040
38,42273
38,51362
38,51568
38,52526
38,54161
38,47654
40,46754
40,58198
40,61455
40,37100
40,44351
40,33560
40,32881
40,39625
40,46397
40,47898
40,38225
40,32260
40,42167
40,27194
40,36375
40,28842
40,51461
40,45043
40,25232
40,21657
40,23458
40,22071
41,25287
41,20040
41,24504
41,29649
41,21077
41,19664
41,26349
41,26806
41,22329
41,24734
41,47908
41,49779
42,46307
42,50402
42,54760
42,43981
42,46398
42,39256
42,55715
42,45113
42,42245
42,47363
42,49486
42,41930
42,43722
42,35603
42,40788
42,37700
42,37368
42,36417
42,30017
42,34481
42,47712
45,37399
45,39817
45,38644
45,39565
45,37451
45,43538
45,42694
45,44883
45,31788
45,39608
45,30447
45,38645
45,40849
45,33990
45,34736
57,41538
57,52010
57,39650
57,39187
57,25093
57,28512
57,34742
57,31207
57,45502
57,30543
57,32333
57,34625
57,31702
57,30720
57,40519
59,41359
59,21778
59,18777
59,32074
59,40488
59,39152
59,49325
59,35153
59,18730
59,837
59,26750
59,24742
59,19998
69,44705
69,49463
69,37329
69,41548
69,43500
69,41554
69,39463
69,41279
69,39075
69,43065
69,45755
69,43091
69,27972
69,34660
73,36535
73,39542
73,35521
73,37237
73,37036
73,31629
73,34200
73,30168
73,26347
73,23494
73,28978
73,23448
75,33498
75,20610
75,30627
75,36653
75,39127
75,239
75,21306
75,26251
75,33582
75,17947
75,37638
75,23106
83,34413
83,29642
83,22760
83,30314
83,27533
83,35348
83,29232
83,28780
83,32615
83,40420
83,42841
83,42229
83,39619
83,40321
83,37803
83,46064
85,40175
85,35110
85,50749
85,42809
85,21323
85,39912
85,43296
85,38358
85,6387
85,12015
85,14124
85,19932
85,10027
85,17615
85,12869
85,12816
85,13567
85,17368
85,16104
85,16820
88,15883
88,18570
88,18874
88,14837
88,14777
88,15182
88,14348
88,11182
88,5777
88,6460
91,8006
91,15843
91,11624
91,13026
91,13724
91,27609
91,23613
91,22856
91,29492
91,23079
91,16562
91,33219
91,32443
91,318
91,34275
101,27616
101,30431
101,25820
101,33756
101,51089
101,35243
101,52133
101,32314
101,38914
101,29149
101,35813
101,31202
101,30894
101,31296
101,41192
105,34969
105,31567
105,26164
105,28310
105,35438
105,37664
105,24853
105,36237
105,40969
105,34667
105,36017
105,37943
105,20527
105,39867
105,46432
109,26440
109,20824
109,34686
109,31622
109,29374
109,26653
109,32057
109,35340
109,41313
109,35747
109,36820
109,26947
109,29764
109,27001
109,35092
129,37560
129,35603
129,26074
129,25298
129,33197
129,28327
129,32623
129,23012
129,31358
129,40423
129,29557
129,30983
129,23068
129,17908
129,30168
129,21625
129,33424
129,27476
129,16996
129,26049
129,24851
129,25670
136,24057
136,30478
136,21961
136,18985
136,31918
136,14503
136,6432
136,8749
136,6000
136,14503
136,5482
136,17294
136,5482
136,17294
138,2599
138,10012
138,6000
138,5370
138,6432
138,6027
138,5370
138,8749
138,38527
138,39415
138,36765
138,50990
138,21192
142,39825
142,32560
142,40038
142,27057
142,47178
142,33712
142,33051
142,33833
142,30150
142,49110
142,24455
142,37662
142,32277
142,29649
142,28346
142,41385
142,33492
142,48602
142,33602
142,40343
149,38861
149,28810
149,13376
149,30151
149,30238
149,37829
149,18072
149,14176
149,17858
149,35897
149,27107
149,10382
153,36382
153,36215
153,32015
153,13181
153,27724
153,21286
153,18213
153,26287
153,19178
153,24407
153,21700
153,15075
153,22408
153,23183
153,30636
158,30514
158,20213
158,14642
158,13947
158,11265
158,15168
158,16813
158,19767
158,10495
158,12006
158,28291
158,10092
158,35057
158,28236
161,26384
161,31267
161,16552
161,20985
161,17859
161,26789
161,24041
161,21747
161,27942
161,24575
161,35580
161,29518
176,20780
176,28316
176,28506
176,20357
176,21793
176,18676
176,39787
176,19019
176,24679
176,18474
176,22041
176,27736
176,383
176,20309
177,36653
177,24301
177,31412
177,24093
177,40012
177,31494
177,27558
177,18301
177,32503
177,13719
177,21396
177,29631
177,26485
177,18276
177,21897
189,27586
189,19303
189,24786
189,34818
189,26789
189,21077
189,27127
189,8386
189,22564
189,20867
189,32935
189,25732
189,19301
189,16670
195,30428
195,44942
195,33862
195,42813
195,35232
195,41760
195,41238
195,27129
195,16853
195,38348
195,44683
195,35218
195,38250
195,43388
208,40298
208,19342
208,33779
208,58302
208,27785
208,41213
208,45710
208,49003
208,49358
208,33978
208,46366
208,49649
208,37262
208,35801
217,47532
217,27718
217,51985
217,46995
217,51536
217,41918
217,55208
217,35048
217,40257
217,56289
217,39301
227,46276
227,46526
227,46163
227,51363
227,47564
227,47080
227,13216
227,12407
227,17378
227,10877
227,13061
227,11785
227,19058
227,15633
227,11289
228,16556
228,20731
228,22412
228,12366
228,47147
228,45689
228,41660
228,47347
228,53448
228,47799
228,44305
228,54122
228,38340
228,39799
229,40024
229,44864
229,49379
229,41667
229,30476
229,29841
229,50005
229,35933
229,37580
229,41423
229,32532
229,26037
229,38292
229,9815
229,25016
229,25948
229,18543
229,25686
229,21249
229,20091
229,41071
229,16423
233,21980
233,24067
233,26021
233,41818
233,35241
233,31027
233,31439
233,20711
233,35703
233,15950
233,37971
233,14050
233,12124
233,14126
233,20455
235,32255
235,31430
235,19865
235,17180
235,18888
235,27222
235,37383
235,42568
235,35840
235,20229
235,20463
235,33831
235,46112
235,25914
235,38694
235,19129
235,46470
235,19113
235,43325
235,17269
237,22975
237,20879
237,12051
237,9207
237,6969
237,20934
237,26239
237,21590
237,22030
237,19222
237,29509
237,13542
237,12927
237,15705
239,22921
239,17767
239,52045
239,32056
239,32498
239,18612
239,24551
239,26176
239,16685
239,21479
239,15730
239,34223
256,26889
256,30844
256,41643
256,31902
256,49008
256,48671
256,30124
256,46978
256,46870
256,48853
256,27496
256,43166
280,30825
280,34195
280,33365
280,40418
280,34964
280,33812
280,27778
280,23599
280,29632
280,23750
280,34082
287,29450
287,30941
287,27083
287,31431
287,43104
287,27787
287,33728
287,17987
287,29034
287,34576
287,41570
287,29047
287,17599
287,34303
287,38272
301,29380
301,24080
301,377
301,34752
301,30404
301,31862
301,23541
301,32485
301,36907
301,45153
301,34613
301,33078
301,42981
301,35669
301,50757
303,40315
303,33265
303,36745
303,43449
303,37098
303,41589
303,27741
303,29750
303,32599
303,18022
303,10312
303,13026
303,18619
303,19547
303,18758
304,29553
304,20785
304,27189
304,23385
304,14106
304,16799
304,11127
304,21190
304,13391
304,19923
304,22385
304,29150
304,22834
304,21193
304,17064
307,14768
307,29846
307,19335
307,18803
307,29430
307,23085
307,26494
307,24875
307,22139
307,27098
307,44135
307,41919
307,16691
307,36123
307,23003
309,33889
309,36205
309,41756
309,22159
309,39626
309,26208
309,21888
309,28793
309,35063
309,33172
309,18030
309,36049
309,14278
310,35291
310,21415
310,28113
310,29481
310,24295
310,37454
310,26938
310,31364
310,22125
310,30269
310,19877
310,33419
310,38747
313,32100
313,24059
313,37484
313,39740
313,25715
313,29264
313,35390
313,26851
313,32215
313,39136
313,30743
313,32062
313,41288
313,10948
313,24309
315,24700
315,33306
315,47033
315,29576
315,23902
315,63574
315,31913
315,53888
315,24459
315,64165
315,27294
315,29205
315,25329
315,35203
318,29974
318,256
318,54623
318,32042
318,22349
318,27202
318,25165
318,25405
318,39693
318,29764
318,19093
318,34716
318,18095
318,23267
318,33706
318,39415
318,26072
320,38435
320,29003
320,29945
320,25296
320,37195
320,20676
320,33140
320,24487
320,18360
320,31220
320,16370
320,22513
320,32162
320,35289
320,26879
320,27413
320,56054
320,49605
320,48039
320,47881
321,49801
321,41895
321,47352
321,48167
321,45143
321,42316
321,52538
321,51869
321,53503
321,55169
321,43693
321,54574
324,46922
324,52827
324,53794
324,51220
324,50905
324,54291
324,39338
324,21593
324,37504
324,35619
324,17499
324,38093
324,41260
325,21650
325,24432
325,57
325,35295
325,30095
325,30412
325,26329
325,32052
325,37092
325,25635
325,30856
325,30396
325,36547
325,35268
325,22494
332,33645
332,31326
332,37697
332,25493
332,32139
332,32902
332,47808
332,29461
332,38043
332,38353
332,38329
332,37690
335,40170
335,44868
335,44751
335,38405
335,40997
335,30771
335,40478
335,45290
335,39107
335,33052
335,37931
335,748
335,41624
335,28627
336,38711
336,25762
336,26229
336,16623
336,44395
336,36314
336,35570
336,20915
336,26130
336,33008
336,37005
336,17730
336,24820
336,15216
336,14752
336,22118
336,39891
336,29796
336,34449
336,31767
338,22531
338,21457
338,16196
338,24123
338,26371
338,15105
338,35109
338,45010
338,29882
338,52302
338,34140
340,25150
340,29709
340,40928
340,43091
340,34295
340,36712
340,33907
340,42218
340,35082
340,45147
340,21246
340,15019
340,21647
