Line,Gender,Rep,st 3 (pmol/s*mg protein),st 4 (pmol/s*mg protein),po ratio,,,
208,F,1,3224.32,303.04,2.47,,,
208,F,2,2271.41,297.14,2.45,,,
208,F,3,2013.90,337.91,2.25,,,
208,F,4,2803.14,253.11,2.29,,,
208,F,5,1968.39,239.58,.,,,
208,F,6,2133.61,147.73,2.95,,,
208,F,7,3028.48,282.06,2.78,,,
301,F,1,2200.66,204.61,2.57,,,
301,F,2,2914.39,203.18,2.47,,,
301,F,3,1346.90,214.17,2.78,,,
301,F,4,1962.59,238.21,2.72,,,
301,F,5,2357.99,245.79,2.56,,,
301,F,6,1922.83,316.72,2.55,,,
301,F,7,2183.30,249.42,2.67,,,
303,F,1,2248.97,207.05,2.54,,,
303,F,2,2632.96,232.43,2.47,,,
303,F,3,3503.15,210.57,2.48,,,
303,F,4,3270.43,273.65,2.21,,,
303,F,5,2646.44,182.59,2.55,,,
303,F,6,1963.77,325.16,2.60,,,
303,F,7,2588.16,324.17,2.49,,,
304,F,1,1582.36,427.45,1.60,,,
304,F,2,1717.95,393.40,2.13,,,
304,F,3,2080.28,225.06,2.67,,,
304,F,4,3124.13,292.33,2.73,,,
304,F,5,3479.98,272.15,2.68,,,
304,F,6,2090.54,312.83,2.65,,,
304,F,7,2500.22,352.63,2.67,,,
306,F,1,1953.45,198.80,2.47,,,
306,F,2,2710.28,198.01,2.44,,,
306,F,3,2790.87,200.24,2.32,,,
306,F,4,2127.45,241.17,2.43,,,
306,F,5,2764.45,235.84,2.83,,,
306,F,6,2035.41,192.76,3.10,,,
306,F,7,2934.46,325.68,2.74,,,
307,F,1,1062.51,281.79,2.66,,,
307,F,2,2098.44,266.01,2.70,,,
307,F,3,1036.83,165.73,2.62,,,
307,F,4,1700.97,280.63,2.64,,,
307,F,5,1607.84,221.52,2.85,,,
307,F,6,1048.29,259.04,3.06,,,
313,F,1,1204.67,112.19,2.86,,,
313,F,2,1646.18,219.50,2.69,,,
313,F,3,1147.00,230.03,3.02,,,
313,F,4,2076.47,193.03,2.68,,,
313,F,5,1410.14,184.56,2.70,,,
313,F,6,2727.05,261.65,2.66,,,
313,F,7,1783.77,265.20,2.71,,,
313,F,8,1932.63,192.35,2.82,,,
315,F,1,3257.67,211.07,2.39,,,
315,F,2,3530.65,216.12,2.33,,,
315,F,3,2898.49,204.95,2.55,,,
315,F,4,2590.48,329.72,1.93,,,
315,F,5,2816.76,309.34,2.15,,,
315,F,6,3299.91,540.64,2.01,,,
315,F,7,2738.22,434.01,1.69,,,
324,F,1,1913.88,363.99,2.20,,,
324,F,2,3261.38,317.53,2.60,,,
324,F,3,2414.40,248.23,2.67,,,
324,F,4,1801.17,133.16,2.80,,,
324,F,5,2009.91,239.94,2.67,,,
324,F,6,1898.38,194.22,2.77,,,
324,F,7,2244.59,227.03,3.01,,,
335,F,1,1270.16,305.38,2.32,,,
335,F,2,1177.83,245.58,2.90,,,
