ID,MappingPanel,line,Genotype Bloomington,RepVial,CaffeineResistance
28874,DGRP,26,28123,1,71.78333333
28875,DGRP,26,28123,1,31.3
28876,DGRP,26,28123,1,53.13333333
28877,DGRP,26,28123,1,45.18333333
28878,DGRP,26,28123,1,39.48333333
28879,DGRP,26,28123,1,38.06666667
28880,DGRP,26,28123,1,74.36666667
28881,DGRP,26,28123,1,49.16666667
28882,DGRP,26,28123,1,56.96666667
28883,DGRP,26,28123,1,53.78333333
28884,DGRP,26,28123,1,51.36666667
28885,DGRP,26,28123,1,23.76666667
28886,DGRP,26,28123,1,16.63333333
28887,DGRP,26,28123,1,42.55
28888,DGRP,26,28123,1,71.78333333
28889,DGRP,26,28123,1,35.08333333
28890,DGRP,28,28124,1,27.15
28891,DGRP,28,28124,1,10.46666667
28892,DGRP,28,28124,1,20
28893,DGRP,28,28124,1,11.31666667
28894,DGRP,28,28124,1,13.36666667
28895,DGRP,28,28124,1,40.83333333
28896,DGRP,28,28124,1,17.53333333
28897,DGRP,28,28124,1,25.98333333
28898,DGRP,28,28124,1,38.48333333
28899,DGRP,28,28124,1,35.51666667
28900,DGRP,28,28124,1,46.55
28901,DGRP,28,28124,1,23.2
28902,DGRP,28,28124,1,21.41666667
28903,DGRP,28,28124,1,10.2
28904,DGRP,28,28124,1,7.483333333
28905,DGRP,28,28124,1,13.46666667
28906,DGRP,38,28125,1,27.83333333
28907,DGRP,38,28125,1,36.18333333
28908,DGRP,38,28125,1,11.98333333
28909,DGRP,38,28125,1,28.31666667
28910,DGRP,38,28125,1,28.91666667
28911,DGRP,38,28125,1,35.46666667
28912,DGRP,38,28125,1,17.65
28913,DGRP,38,28125,1,36.41666667
28914,DGRP,38,28125,1,34.46666667
28915,DGRP,38,28125,1,17.41666667
28916,DGRP,38,28125,1,55.13333333
28917,DGRP,38,28125,1,41.6
28918,DGRP,38,28125,1,13.08333333
28919,DGRP,38,28125,1,25.48333333
28920,DGRP,38,28125,1,35.53333333
28921,DGRP,38,28125,1,22.38333333
28922,DGRP,41,28126,1,108.6833333
28923,DGRP,41,28126,1,115.6833333
28924,DGRP,41,28126,1,89.3
28925,DGRP,41,28126,1,92.61666667
28926,DGRP,41,28126,1,102.6833333
28927,DGRP,41,28126,1,108.1333333
28928,DGRP,41,28126,1,99.3
28929,DGRP,41,28126,1,107.2
28930,DGRP,41,28126,1,108.3
28931,DGRP,41,28126,1,85.28333333
28932,DGRP,41,28126,1,82.43333333
28933,DGRP,41,28126,1,109.9666667
28934,DGRP,41,28126,1,99.85
28935,DGRP,41,28126,1,99.03333333
28936,DGRP,41,28126,1,107.8333333
28937,DGRP,41,28126,1,103.25
28938,DGRP,42,28127,1,10.1
28939,DGRP,42,28127,1,9.183333333
28940,DGRP,42,28127,1,11.78333333
28941,DGRP,42,28127,1,8.25
28942,DGRP,42,28127,1,6.983333333
28943,DGRP,42,28127,1,11.51666667
28944,DGRP,42,28127,1,10.9
28945,DGRP,42,28127,1,4.633333333
28946,DGRP,42,28127,1,12.58333333
28947,DGRP,42,28127,1,12.16666667
28948,DGRP,42,28127,1,21.66666667
28949,DGRP,42,28127,1,6.733333333
28950,DGRP,42,28127,1,14.4
28951,DGRP,42,28127,1,10.36666667
28952,DGRP,42,28127,1,7.183333333
28953,DGRP,42,28127,1,15.55
28954,DGRP,45,28128,1,40.6
28955,DGRP,45,28128,1,38.21666667
28956,DGRP,45,28128,1,35.53333333
28957,DGRP,45,28128,1,43.88333333
28958,DGRP,45,28128,1,32.2
28959,DGRP,45,28128,1,29.83333333
28960,DGRP,45,28128,1,40.1
28961,DGRP,45,28128,1,32.11666667
28962,DGRP,45,28128,1,34.95
28963,DGRP,45,28128,1,32.58333333
28964,DGRP,45,28128,1,44.7
28965,DGRP,45,28128,1,38.65
28966,DGRP,45,28128,1,35.65
28967,DGRP,45,28128,1,24.93333333
30889,DGRP,57,29652,1,36.95
30890,DGRP,57,29652,1,53.6
30891,DGRP,57,29652,1,41.75
30892,DGRP,57,29652,1,41.18333333
30893,DGRP,57,29652,1,37.4
30894,DGRP,57,29652,1,47.18333333
30895,DGRP,57,29652,1,34.7
30896,DGRP,57,29652,1,38.03333333
30897,DGRP,57,29652,1,31.71666667
30898,DGRP,57,29652,1,49.83333333
30899,DGRP,57,29652,1,13.56666667
30900,DGRP,57,29652,1,39.06666667
30901,DGRP,57,29652,1,28.8
30902,DGRP,57,29652,1,45.98333333
30903,DGRP,57,29652,1,28.06666667
30904,DGRP,57,29652,1,43.63333333
28968,DGRP,59,28129,1,54.13333333
28969,DGRP,59,28129,1,42.51666667
28970,DGRP,59,28129,1,45.63333333
28971,DGRP,59,28129,1,64.93333333
28972,DGRP,59,28129,1,21.2
28973,DGRP,59,28129,1,75.66666667
28974,DGRP,59,28129,1,24.45
28975,DGRP,59,28129,1,72.13333333
28976,DGRP,59,28129,1,84.51666667
28977,DGRP,59,28129,1,33.51666667
28978,DGRP,59,28129,1,19.61666667
28979,DGRP,59,28129,1,44.31666667
28980,DGRP,59,28129,1,15.95
