DGRP_id,day_id,plate_id,neighbour,treatment,arena_id,distance_cm,treatment_ingestion
383,311,D,1,0,31,670.173,0.993
383,311,D,1,0,32,525.244,0.993
383,311,D,1,0,33,727.815,0.993
383,311,D,1,0,34,535.106,0.993
383,311,D,1,0,35,596.565,0.993
383,311,D,1,0,36,526.024,0.993
383,511,A,1,0,13,529.287,1.125
383,511,A,1,0,14,570.39,1.125
383,511,A,2,0,15,529.242,1.125
383,511,A,2,0,16,626.841,1.125
383,411,C,1,0,13,617.732,1.229
383,411,C,1,0,14,569.472,1.229
383,411,C,2,0,15,652.438,1.229
383,411,C,2,0,16,573.434,1.229
383,411,C,2,0,17,655.708,1.229
383,411,C,1,0,18,538.339,1.229
383,511,A,2,0,17,481.234,0.958
383,511,A,1,0,18,402.76,0.958
383,511,A,1,0,19,478.083,0.958
383,411,C,1,0,19,570.555,1.174
383,411,C,2,0,20,342.255,1.174
383,411,C,2,0,21,651.42,1.174
383,411,C,2,0,22,659.213,1.174
383,411,C,2,0,23,682.119,1.174
383,411,C,1,0,24,301.836,1.174
383,411,C,1,0,25,459.061,1.146
383,411,C,2,0,26,532.399,1.146
383,411,C,2,0,27,411.025,1.146
383,411,C,2,0,28,164.647,1.146
383,411,C,2,0,29,187.274,1.146
383,511,A,1,1,25,498.613,0.653
383,511,A,2,1,26,581.063,0.653
383,511,A,2,1,27,504.448,0.653
383,511,A,2,1,28,493.63,0.653
383,511,A,2,1,29,528.526,0.653
383,511,A,1,1,30,596.639,0.653
383,411,C,1,1,31,497.979,0.424
383,411,C,1,1,32,312.251,0.424
383,411,C,1,1,33,347.776,0.424
383,411,C,1,1,34,311.88,0.424
383,411,C,1,1,35,490.535,0.424
383,411,C,1,1,36,558.099,0.424
383,311,E,1,1,1,442.114,0.479
383,311,E,1,1,2,534.843,0.479
383,411,D,1,1,1,123.071,0.59
383,411,D,1,1,2,554.489,0.59
383,411,D,1,1,3,557.983,0.59
383,411,D,1,1,4,545.17,0.59
383,411,D,1,1,5,281.04,0.59
383,411,D,1,1,6,380.449,0.59
383,411,D,2,1,10,643.586,0.646
383,411,D,2,1,11,358.622,0.646
383,411,D,1,1,12,504.604,0.646
383,411,D,1,1,7,461.928,0.646
383,411,D,2,1,8,635.338,0.646
383,411,D,2,1,9,571.385,0.646
383,411,D,1,1,13,505.765,0.344
383,411,D,1,1,14,570.529,0.344
383,411,D,2,1,15,391.083,0.344
383,411,D,2,1,16,16.8325,0.344
385,512,F,1,0,31,703.917,0.473
385,512,F,1,0,32,712.374,0.473
385,512,F,1,0,33,655.638,0.473
385,512,F,1,0,34,680.707,0.473
385,512,F,1,0,35,731.392,0.473
385,512,F,1,0,36,607.709,0.473
385,512,G,1,0,1,358.373,0.83
385,512,G,1,0,2,498.802,0.83
385,512,G,1,0,3,438.07,0.83
385,512,G,1,0,4,454.468,0.83
385,512,G,1,0,5,442.815,0.83
385,512,G,1,0,6,453.46,0.83
385,312,K,1,0,19,429.076,1.167
385,312,K,2,0,20,305.046,1.167
385,312,K,2,0,21,256.006,1.167
385,312,K,2,0,22,327.461,1.167
385,312,K,2,0,23,422.169,1.167
385,312,K,1,0,24,174.655,1.167
385,412,J,1,0,13,412.725,1.181
385,412,J,1,0,14,549.357,1.181
385,412,J,2,0,15,438.483,1.181
385,412,J,2,0,16,702.711,1.181
385,412,J,2,0,17,625.59,1.181
385,412,J,1,0,18,494.173,1.181
385,412,J,1,0,19,483.265,1.236
385,412,J,2,0,20,600.269,1.236
385,412,J,2,0,21,679.305,1.236
385,412,J,2,0,22,629.606,1.236
385,412,J,2,0,23,552.082,1.236
385,412,J,1,0,24,565.009,1.236
385,512,G,2,1,10,678.364,0.414
385,512,G,2,1,11,434.722,0.414
385,512,G,1,1,12,466.345,0.414
385,512,G,1,1,7,479.127,0.414
385,512,G,2,1,8,478.472,0.414
385,512,G,2,1,9,292.662,0.414
385,412,J,1,1,25,253.275,0.722
385,412,J,2,1,26,507.933,0.722
385,412,J,2,1,27,399.377,0.722
385,312,K,1,1,25,270.684,0.847
385,312,K,2,1,26,240.888,0.847
385,312,K,2,1,27,251.688,0.847
385,312,K,2,1,28,69.3836,0.847
385,312,K,2,1,29,17.9494,0.847
385,512,G,1,1,13,59.475,0.652
385,512,G,1,1,14,302.138,0.652
385,512,G,2,1,15,397.467,0.652
385,512,G,2,1,16,478.962,0.652
385,512,G,2,1,17,221.603,0.652
385,512,G,1,1,18,208.26,0.652
385,412,J,1,1,31,442.967,0.667
385,412,J,1,1,32,460.667,0.667
385,412,J,1,1,33,538.829,0.667
385,412,J,1,1,34,82.4109,0.667
385,312,K,1,1,31,318.928,0.667
385,312,K,1,1,32,295.689,0.667
385,312,K,1,1,33,350.037,0.667
386,3011,H,1,0,33,419.486,1.141
386,3011,H,1,0,34,359.952,1.141
386,3011,H,1,0,35,417.873,1.141
386,3011,H,1,0,36,408.037,1.141
386,2911,I,1,0,31,279.82,1.425
386,2911,I,1,0,32,101.692,1.425
386,2911,I,1,0,33,621.193,1.425
386,2911,I,1,0,34,510.564,1.425
386,2911,I,1,0,35,199.965,1.425
386,112,E,2,0,10,530.064,1.027
386,112,E,2,0,11,574.249,1.027
386,112,E,1,0,12,456.679,1.027
386,112,E,1,0,7,472.299,1.027
386,112,E,2,0,8,565.918,1.027
386,112,E,2,0,9,449.173,1.027
386,3011,I,1,0,1,449.577,0.927
386,3011,I,1,0,2,641.593,0.927
386,3011,I,1,0,3,538.194,0.927
386,3011,I,1,0,4,429.884,0.927
386,3011,I,1,0,5,288.291,0.927
386,3011,I,1,0,6,122.81,0.927
386,112,E,1,0,13,585.312,0.932
386,112,E,1,0,14,601.741,0.932
386,112,E,2,0,15,570.647,0.932
386,3011,I,2,0,10,141.715,0.76
386,3011,I,2,0,11,408.103,0.76
386,3011,I,1,0,12,265.44,0.76
386,3011,I,1,0,7,370.966,0.76
386,3011,I,2,0,8,55.2253,0.76
386,3011,I,2,0,9,441.576,0.76
386,2911,J,1,1,1,492.237,0.365
386,2911,J,1,1,2,232.091,0.365
386,2911,J,1,1,3,543.899,0.365
386,2911,J,1,1,4,463.889,0.365
386,112,E,2,1,16,683.905,0.241
386,112,E,2,1,17,506.295,0.241
386,112,E,1,1,18,530.855,0.241
386,3011,I,1,1,13,495.017,0.594
386,3011,I,1,1,14,396.148,0.594
386,3011,I,2,1,15,499.432,0.594
386,3011,I,2,1,16,500.241,0.594
386,3011,I,2,1,17,284.559,0.594
386,3011,I,1,1,18,177.153,0.594
386,112,E,1,1,19,579.647,0.313
386,112,E,2,1,20,634.844,0.313
386,112,E,2,1,21,641.535,0.313
386,112,E,2,1,22,693.746,0.313
386,112,E,2,1,23,552.745,0.313
386,112,E,1,1,24,551.62,0.313
386,3011,I,1,1,19,550.68,0.372
386,3011,I,2,1,20,261.878,0.372
386,3011,I,2,1,21,210.534,0.372
386,3011,I,2,1,22,705.305,0.372
386,3011,I,2,1,23,658.577,0.372
386,3011,I,1,1,24,599.646,0.372
386,3011,I,1,1,25,468.084,0.546
386,3011,I,2,1,26,436.722,0.546
386,3011,I,2,1,27,600.144,0.546
386,3011,I,2,1,28,570.67,0.546
386,3011,I,2,1,29,510.847,0.546
392,311,E,2,0,10,230.906,1.442
392,311,E,2,0,11,364.259,1.442
392,311,E,1,0,7,542.371,1.442
392,311,E,2,0,8,501.804,1.442
392,311,E,2,0,9,603.207,1.442
392,411,D,1,0,19,288.296,1.229
392,411,D,2,0,20,492.62,1.229
392,411,D,2,0,21,543.132,1.229
392,411,D,2,0,22,536.72,1.229
392,411,D,2,0,23,495.442,1.229
392,411,D,1,0,24,310.29,1.229
392,411,E,1,0,1,606.535,1.229
392,411,E,1,0,2,589.221,1.229
392,411,E,1,0,3,503.998,1.229
392,411,E,1,0,4,418.14,1.229
392,411,E,1,0,5,492.381,1.229
392,411,E,1,0,6,436.695,1.229
392,411,D,1,0,25,447.699,0.799
392,411,D,2,0,26,503.779,0.799
392,411,D,2,0,27,536.626,0.799
392,411,D,2,0,28,383.325,0.799
392,411,D,2,0,29,314.094,0.799
392,411,D,1,0,30,269.212,0.799
392,411,E,1,0,7,487.122,1.201
392,411,D,1,0,31,538.799,1.174
392,411,D,1,0,32,570.127,1.174
392,411,D,1,0,33,451.036,1.174
392,411,D,1,0,34,531.56,1.174
392,411,D,1,0,35,562.478,1.174
392,411,F,1,1,1,318.783,0.802
392,411,F,1,1,2,296.838,0.802
392,411,E,2,1,10,484.909,0.575
392,411,E,2,1,11,463.078,0.575
392,411,E,2,1,8,497.289,0.575
392,411,E,2,1,9,153.848,0.575
392,411,E,1,1,13,440.816,0.896
392,411,E,1,1,14,432.69,0.896
392,411,E,2,1,15,243.246,0.896
