Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
101/,2/7/13,L,KA,23,15,9,6,38,15,0.005263158
101/,4/1/13,L,KL,36,6,9,22,42,31,0.566820276
101/,4/22/13,L,LT,32,15,10,7,47,17,0.09261577
101/,2/13/13,S,KA,33,7,19,20,40,39,0.337820513
101/,4/1/13,S,KL,27,16,9,8,43,17,0.098495212
101/,4/5/13,S,KL,17,4,9,6,21,15,0.20952381
101/,4/12/13,S,KL,16,5,8,9,21,17,0.291316527
101/,4/22/13,S,LT,29,13,10,6,42,16,0.06547619
105/,4/22/13,L,LT,42,7,17,21,49,38,0.409774436
105/,5/7/13,L,MB,29,12,12,17,41,29,0.29352397
105/,5/20/13,L,AR,29,12,16,10,41,26,0.091932458
105/,3/13/13,S,KA,28,16,18,17,44,35,0.122077922
105/,4/5/13,S,KL,27,9,7,13,36,20,0.4
105/,4/16/13,S,MB,22,16,19,14,38,33,0.003189793
105/,4/22/13,S,LT,26,12,21,19,38,40,0.159210526
136/,10/31/12,L,JZ,23,23,10,17,46,27,0.12962963
136/,4/24/13,L,AR,39,8,18,17,47,35,0.31550152
136/,4/30/13,L,MB,30,4,14,19,34,33,0.458110517
136/,8/8/12,S,SL,24,12,9,13,36,22,0.257575758
136/,11/13/12,S,NG,22,16,12,19,38,31,0.191850594
136/,4/24/13,S,AR,25,8,25,8,33,33,0
136/,4/30/13,S,MB,26,8,7,8,34,15,0.298039216
136/,5/8/13,S,KA,31,10,9,14,41,23,0.364793213
142/,10/4/13,L,KA,31,12,19,17,43,36,0.193152455
142/,11/6/13,L,KA,26,12,18,9,38,27,0.01754386
142/,12/9/13,L,JG,23,13,25,10,36,35,-0.075396825
142/,10/4/13,S,KA,30,14,22,13,44,35,0.053246753
142/,10/29/13,S,DG,27,17,3,12,44,15,0.413636364
142/,11/19/13,S,DG,27,16,10,10,43,20,0.127906977
142/,8/15/14,S,JG,27,14,17,22,41,39,0.222639149
149/,4/3/15,L,BY,28,10,9,8,38,17,0.207430341
149/,4/17/15,L,BY,36,5,4,8,41,12,0.544715447
149/,4/23/15,L,KS,21,11,2,12,32,14,0.513392857
149/,5/22/15,L,JG,35,11,25,19,46,44,0.192687747
149/,3/12/13,S,MB,19,16,5,13,35,18,0.265079365
149/,4/3/15,S,BY,46,4,2,12,50,14,0.777142857
149/,4/29/15,S,AZ,15,19,12,13,34,25,-0.038823529
153/,10/30/12,L,NG,28,15,6,21,43,27,0.428940568
153/,5/14/13,L,SL,40,8,18,21,48,39,0.371794872
153/,5/16/13,L,SL,31,15,15,18,46,33,0.219367589
153/,10/30/12,S,NG,26,18,9,25,44,34,0.326203209
153/,5/14/13,S,SL,24,14,11,19,38,30,0.264912281
153/,5/16/13,S,SL,32,8,14,16,40,30,0.333333333
158/,9/18/13,L,KA,23,19,15,18,42,33,0.093073593
158/,9/25/13,L,KA,21,23,21,18,44,39,-0.061188811
158/,11/6/13,L,KA,29,4,3,7,33,10,0.578787879
158/,11/18/13,L,MK,30,17,23,18,47,41,0.077322263
158/,9/25/13,S,KA,22,18,27,5,40,32,-0.29375
158/,10/14/13,S,JG,24,19,9,11,43,20,0.108139535
158/,11/1/13,S,DG,18,14,6,18,32,24,0.3125
158/,11/22/13,S,DG,18,15,7,15,33,22,0.227272727
158/,11/27/13,S,JG,17,8,5,8,25,13,0.295384615
161/,3/3/15,L,AN,14,31,21,25,45,46,-0.145410628
161/,3/31/15,L,DG,24,12,16,13,36,29,0.114942529
161/,5/12/15,L,JG,22,19,13,18,41,31,0.117230527
161/,2/25/15,S,AZ,17,16,15,14,33,29,-0.002089864
161/,3/9/15,S,LH,16,9,11,10,25,21,0.116190476
161/,3/31/15,S,DG,16,19,5,19,35,24,0.248809524
161/,4/7/15,S,AN,18,34,13,23,52,36,-0.014957265
161/,4/22/15,S,AZ,19,16,12,12,35,24,0.042857143
176/,2/7/13,L,KA,35,9,11,13,44,24,0.337121212
176/,5/23/13,L,JG,29,9,13,15,38,28,0.29887218
176/,5/28/13,L,SL,23,13,9,20,36,29,0.328544061
176/,2/5/13,S,KA,30,14,8,13,44,21,0.300865801
176/,5/23/13,S,JG,25,12,12,11,37,23,0.153936545
176/,5/28/13,S,SL,29,8,8,13,37,21,0.402831403
177/,9/4/12,L,NG,33,12,13,21,45,34,0.350980392
177/,5/9/13,L,MB,22,14,24,12,36,36,-0.055555556
177/,5/27/13,L,AR,27,17,19,17,44,36,0.085858586
177/,9/4/12,S,NG,37,11,18,20,48,38,0.297149123
177/,5/9/13,S,MB,32,14,16,19,46,35,0.238509317
177/,5/27/13,S,AR,31,8,18,21,39,39,0.333333333
181/,1/29/14,L,JG,17,19,22,18,36,40,-0.077777778
181/,2/5/14,L,KA,23,18,12,8,41,20,-0.03902439
181/,3/11/14,L,GM,21,11,11,12,32,23,0.17798913
181/,1/29/14,S,JG,20,22,14,16,42,30,0.00952381
