Genotype,trt,observer,on.substrate,off.substrate,dates
256/,C,AN,19,5,10/10- 10/12/13
256/,F,AN,14,10,10/10- 10/12/13
398/,C,AN,9,15,10/10- 10/12/13
398/,F,AN,20,5,10/10- 10/12/13
357/,C,AN,24,0,10/29-10/31/14
357/,F,AN,10,3,10/29-10/31/14
340/,C,AN,22,3,10/29-10/31/14
340/,F,AN,25,0,10/29-10/31/14
391/,C,AN,16,0,10/15- 10/17/13
391/,F,AN,0,7,10/15- 10/17/13
802/,C,AN,23,0,10/15- 10/17/13
802/,F,AN,1,20,10/15- 10/17/13
852/,C,AN,16,0,10/15- 10/17/13
852/,F,AN,1,12,10/15- 10/17/13
57/,C,AN,24,0,11/21-11/23/13
57/,F,AN,21,0,11/21-11/23/13
383/,C,AN,11,13,10/8-10/10/14
383/,F,AN,4,20,10/8-10/10/14
357/,C,AN,7,13,10/22-10/24/14
357/,F,AN,12,6,10/22-10/24/14
340/,C,AN,11,11,10/22-10/24/14
340/,F,AN,20,3,10/22-10/24/14
852/,C,AR,15,5,11/14-11/16/13
852/,F,AR,0,22,11/14-11/16/13
280/,C,AR,18,2,11/7-11/9/13
280/,F,AR,2,10,11/7-11/9/13
57/,C,AR,13,12,11/7-11/9/13
57/,F,AR,1,20,11/7-11/9/13
787/,C,AS,18,7,7/10-7/12/14
787/,F,AS,14,11,7/10-7/12/14
855/,C,AS,20,5,7/10-7/12/14
855/,F,AS,18,7,7/10-7/12/14
181/,C,AS,16,9,7/10-7/12/14
181/,F,AS,17,8,7/10-7/12/14
486/,C,AS,13,12,7/10-7/12/14
486/,F,AS,18,7,7/10-7/12/14
855/,C,AS,22,0,6/27-6/29/14
855/,F,AS,20,5,6/27-6/29/14
181/,C,AS,13,13,7/30-8/1/14
181/,F,AS,9,16,7/30-8/1/14
142/,C,AS,25,0,7/30-8/1/14
142/,F,AS,23,2,7/30-8/1/14
908/,C,AS,22,3,7/30-8/1/14
908/,F,AS,19,6,7/30-8/1/14
808/,C,AS,23,1,8/1-8/3/14
808/,F,AS,23,2,8/1-8/3/14
315/,C,AS,22,0,8/1-8/3/14
315/,F,AS,20,1,8/1-8/3/14
774/,C,AS,21,2,8/1-8/3/14
774/,F,AS,21,3,8/1-8/3/14
787/,C,AS,17,8,8/1-8/3/14
787/,F,AS,8,17,8/1-8/3/14
714/,C,AS,21,3,10/16-10/18/13
714/,F,AS,1,14,10/16-10/18/13
595/,C,AS,22,3,7/16-7/18/14
595/,F,AS,11,1,7/16-7/18/14
377/,C,AS,17,5,7/16-7/18/14
377/,F,AS,19,0,7/16-7/18/14
405/,C,AS,19,1,7/16-7/18/14
405/,F,AS,18,0,7/16-7/18/14
879/,C,AS,20,4,7/16-7/18/14
879/,F,AS,22,3,7/16-7/18/14
774/,C,AS,13,0,7/16-7/18/14
774/,F,AS,5,0,7/16-7/18/14
373/,C,AS,17,8,7/17-7/19/14
373/,F,AS,19,4,7/17-7/19/14
142/,C,AS,19,5,7/17-7/19/14
142/,F,AS,17,7,7/17-7/19/14
233/,C,AS,4,6,7/18-7/20/14
233/,F,AS,4,1,7/18-7/20/14
229/,C,AS,21,2,7/18-7/20/14
229/,F,AS,13,2,7/18-7/20/14
181/,C,AS,13,4,7/19-7/21/14
181/,F,AS,10,2,7/19-7/21/14
233/,C,AS,21,0,7/31-8/2/14
233/,F,AS,5,3,7/31-8/2/14
373/,C,AS,14,3,7/31-8/2/14
373/,F,AS,8,0,7/31-8/2/14
229/,C,AS,10,0,7/31-8/2/14
229/,F,AS,5,1,7/31-8/2/14
362/,C,AS,13,10,8/2-8/4/14
362/,F,AS,15,8,8/2-8/4/14
370/,C,AS,21,4,8/2-8/4/14
370/,F,AS,13,5,8/2-8/4/14
379/,C,AS,20,1,8/2-8/4/14
379/,F,AS,14,8,8/2-8/4/14
239/,C,AS,21,3,8/2-8/4/14
239/,F,AS,17,2,8/2-8/4/14
882/,C,AS,24,0,8/2-8/4/14
882/,F,AS,16,5,8/2-8/4/14
306/,C,KS,14,5,11/13-11/15/14
306/,F,KS,15,3,11/13-11/15/14
318/,C,BY,22,4,10/31-11/2/14
318/,F,BY,20,0,10/31-11/2/14
882/,F,BY,25,0,9/11-9/13/14
808/,C,BY,18,4,9/12-9/14/14
808/,F,BY,22,1,9/12-9/14/14
321/,C,BY,20,4,10/24-10/26/14
321/,F,BY,4,21,10/24-10/26/14
306/,C,BY,13,1,11/7-11/9/14
306/,F,BY,9,3,11/7-11/9/14
