Female_Strain,Block,Atrophy
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,1
38,1,1
38,1,1
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,1
38,1,1
38,1,0
38,1,0
38,1,0
38,1,0
38,1,1
38,1,0
38,1,0
38,1,0
38,1,1
38,1,1
38,1,0
38,1,1
38,1,0
38,1,0
38,1,1
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,1
38,1,0
38,1,0
38,1,0
38,1,0
38,1,1
38,1,0
38,1,0
38,1,1
38,1,1
38,4,1
38,4,1
38,4,0
38,4,1
38,4,1
38,4,0
38,4,0
38,4,0
38,4,0
38,4,0
38,4,0
38,4,1
38,4,0
38,4,0
38,4,0
38,4,1
38,4,0
38,4,0
38,4,1
38,4,1
38,4,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,1
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,6,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
40,9,0
42,1,0
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,0
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,0
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,1,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
42,4,1
75,6,0
75,6,0
75,6,1
75,6,0
75,6,0
75,6,1
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,1
75,6,0
75,6,0
75,6,1
75,6,0
75,6,1
75,6,0
75,6,0
75,6,0
75,6,0
75,6,1
75,6,1
75,6,0
75,6,0
75,6,0
75,6,1
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,1
75,6,1
75,6,1
75,6,0
75,6,1
75,6,1
75,6,1
75,6,0
75,6,1
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
75,6,0
