Line (DGRP),Line (BDSC),Temp,Live,Dead,Total,Proportion survived
208,25174,-1,18,0,18,1
208,25174,-1,19,0,19,1
208,25174,-1,20,0,20,1
208,25174,-1,20,0,20,1
208,25174,-2,20,0,20,1
208,25174,-2,19,0,19,1
208,25174,-2,19,0,19,1
208,25174,-2,19,0,19,1
208,25174,-3,20,0,20,1
208,25174,-3,20,0,20,1
208,25174,-3,20,0,20,1
208,25174,-3,19,0,19,1
208,25174,-4,19,1,20,0.95
208,25174,-4,20,0,20,1
208,25174,-4,20,0,20,1
208,25174,-4,19,0,19,1
208,25174,-5,18,1,19,0.947368421
208,25174,-5,19,0,19,1
208,25174,-5,19,1,20,0.95
208,25174,-5,17,3,20,0.85
208,25174,-6,15,3,18,0.833333333
208,25174,-6,15,5,20,0.75
208,25174,-6,10,9,19,0.526315789
208,25174,-6,13,7,20,0.65
208,25174,-7,0,11,11,0
208,25174,-7,0,20,20,0
208,25174,-7,0,20,20,0
208,25174,-7,0,20,20,0
358,25185,-1,20,0,20,1
358,25185,-1,20,0,20,1
358,25185,-1,19,1,20,0.95
358,25185,-1,20,0,20,1
358,25185,-2,19,1,20,0.95
358,25185,-2,20,0,20,1
358,25185,-2,20,0,20,1
358,25185,-2,18,2,20,0.9
358,25185,-3,14,5,19,0.736842105
358,25185,-3,16,4,20,0.8
358,25185,-3,19,1,20,0.95
358,25185,-3,12,8,20,0.6
358,25185,-4,11,8,19,0.578947368
358,25185,-4,12,8,20,0.6
358,25185,-4,17,3,20,0.85
358,25185,-4,13,6,19,0.684210526
358,25185,-5,9,11,20,0.45
358,25185,-5,8,12,20,0.4
358,25185,-5,10,10,20,0.5
358,25185,-5,10,10,20,0.5
358,25185,-6,3,17,20,0.15
358,25185,-6,1,19,20,0.05
358,25185,-6,6,13,19,0.315789474
358,25185,-6,8,12,20,0.4
358,25185,-7,0,19,19,0
358,25185,-7,0,20,20,0
358,25185,-7,0,20,20,0
358,25185,-7,0,20,20,0
360,25186,-1,13,7,20,0.65
360,25186,-1,12,5,17,0.705882353
360,25186,-1,17,2,19,0.894736842
360,25186,-1,18,2,20,0.9
360,25186,-1,17,2,19,0.894736842
360,25186,-1,14,5,19,0.736842105
360,25186,-2,15,3,18,0.833333333
360,25186,-2,15,4,19,0.789473684
360,25186,-2,10,7,17,0.588235294
360,25186,-2,15,4,19,0.789473684
360,25186,-2,11,8,19,0.578947368
360,25186,-2,16,4,20,0.8
360,25186,-3,7,11,18,0.388888889
360,25186,-3,14,6,20,0.7
360,25186,-3,11,8,19,0.578947368
360,25186,-3,15,5,20,0.75
360,25186,-3,10,10,20,0.5
360,25186,-3,16,4,20,0.8
360,25186,-4,11,9,20,0.55
360,25186,-4,11,9,20,0.55
360,25186,-4,14,7,21,0.666666667
360,25186,-4,12,8,20,0.6
360,25186,-5,16,4,20,0.8
360,25186,-5,11,10,21,0.523809524
360,25186,-5,11,9,20,0.55
360,25186,-5,8,11,19,0.421052632
360,25186,-5,3,16,19,0.157894737
360,25186,-5,6,14,20,0.3
360,25186,-6,1,17,18,0.055555556
360,25186,-6,3,17,20,0.15
360,25186,-6,3,16,19,0.157894737
360,25186,-6,3,17,20,0.15
360,25186,-7,0,20,20,0
360,25186,-7,0,20,20,0
360,25186,-7,0,20,20,0
360,25186,-7,0,18,18,0
360,25186,-7,0,20,20,0
360,25186,-7,0,20,20,0
362,25187,-1,11,8,19,0.578947368
362,25187,-1,13,5,18,0.722222222
362,25187,-1,13,9,22,0.590909091
362,25187,-1,9,5,14,0.642857143
362,25187,-2,4,16,20,0.2
362,25187,-2,8,9,17,0.470588235
362,25187,-2,7,10,17,0.411764706
362,25187,-2,7,10,17,0.411764706
362,25187,-3,12,8,20,0.6
362,25187,-3,9,8,17,0.529411765
362,25187,-3,12,7,19,0.631578947
362,25187,-3,14,5,19,0.736842105
362,25187,-4,2,18,20,0.1
362,25187,-4,14,5,19,0.736842105
362,25187,-4,5,13,18,0.277777778
362,25187,-4,10,9,19,0.526315789
362,25187,-5,7,13,20,0.35
362,25187,-5,10,6,16,0.625
362,25187,-5,1,22,23,0.043478261
362,25187,-5,5,14,19,0.263157895
362,25187,-6,1,18,19,0.052631579
362,25187,-6,2,16,18,0.111111111
362,25187,-6,2,17,19,0.105263158
362,25187,-6,4,12,16,0.25
362,25187,-7,0,17,17,0
362,25187,-7,0,15,15,0
362,25187,-7,0,16,16,0
362,25187,-7,0,18,18,0
375,25188,-1,19,0,19,1
375,25188,-1,18,1,19,0.947368421
375,25188,-1,18,2,20,0.9
375,25188,-1,14,5,19,0.736842105
375,25188,-2,12,7,19,0.631578947
375,25188,-2,18,2,20,0.9
375,25188,-2,19,1,20,0.95
375,25188,-2,18,2,20,0.9
375,25188,-3,14,5,19,0.736842105
375,25188,-3,15,5,20,0.75
375,25188,-3,16,4,20,0.8
375,25188,-3,19,0,19,1
375,25188,-4,12,8,20,0.6
375,25188,-4,11,8,19,0.578947368
375,25188,-4,19,1,20,0.95
375,25188,-4,18,0,18,1
375,25188,-5,5,16,21,0.238095238
375,25188,-5,11,9,20,0.55
375,25188,-5,16,6,22,0.727272727
375,25188,-5,18,2,20,0.9
375,25188,-6,0,21,21,0
375,25188,-6,0,19,19,0
375,25188,-6,1,18,19,0.052631579
375,25188,-6,3,17,20,0.15
375,25188,-7,0,18,18,0
375,25188,-7,0,20,20,0
375,25188,-7,0,20,20,0
375,25188,-7,0,20,20,0
379,25189,-1,13,7,20,0.65
379,25189,-1,9,10,19,0.473684211
379,25189,-1,20,0,20,1
379,25189,-1,15,3,18,0.833333333
379,25189,-2,16,4,20,0.8
379,25189,-2,15,3,18,0.833333333
379,25189,-2,18,2,20,0.9
379,25189,-2,19,0,19,1
379,25189,-3,7,12,19,0.368421053
379,25189,-3,8,12,20,0.4
379,25189,-3,16,2,18,0.888888889
379,25189,-3,11,7,18,0.611111111
