line,sex,time
101,female,83.97
101,female,55.5
101,female,32.8
101,female,70
101,female,83.99
101,female,47.35
101,female,26.53
101,female,65.29
101,female,50.61
101,female,84.57
101,female,61.91
101,female,64.07
101,female,18.46
101,female,62.98
101,female,8.57
101,female,21.2
101,female,54.81
101,female,17.36
101,female,20.3
101,female,54.12
105,female,91.27
105,female,73.51
105,female,93.21
105,female,36.79
105,female,31.99
105,female,4.08
105,female,10.03
105,female,39.92
105,female,27.49
105,female,20.72
105,female,106.84
105,female,22.15
105,female,13.63
105,female,28.31
105,female,39.53
105,female,50.48
105,female,59.33
105,female,25.74
105,female,16.16
105,female,0
105,female,0
109,female,52.85
109,female,56.68
109,female,53.21
109,female,20.23
109,female,35.76
109,female,35
109,female,9.38
109,female,69.75
109,female,65.37
109,female,44.65
109,female,5.01
109,female,19.41
109,female,38.41
109,female,57.53
109,female,50.2
109,female,50.85
109,female,15.59
109,female,17.56
109,female,22.63
109,female,20.46
129,female,49.74
129,female,67.19
129,female,38.31
129,female,47.54
129,female,18.56
129,female,53.86
129,female,103.39
129,female,36.93
129,female,79.24
129,female,109.07
129,female,83.1
129,female,50.06
129,female,59.43
129,female,55.76
129,female,96.28
129,female,44.14
129,female,154.75
129,female,54.19
129,female,98.1
129,female,128.21
136,female,11.91
136,female,46.72
136,female,12.57
136,female,25.69
136,female,3.26
136,female,0
136,female,8.55
136,female,9.94
136,female,10.95
136,female,28.73
136,female,43.44
136,female,5.98
136,female,17.82
136,female,39.13
136,female,11.65
136,female,16.56
136,female,66.77
136,female,15.94
136,female,18.47
136,female,37.31
136,female,27.39
136,female,37.4
136,female,17.6
136,female,46.98
136,female,5.57
136,female,8.31
136,female,5.66
136,female,12.37
136,female,16.55
136,female,23.04
138,female,32.66
138,female,21.28
138,female,55.75
138,female,6.66
138,female,77.47
138,female,0
138,female,91.89
138,female,53.53
138,female,24.56
138,female,76.99
138,female,132.17
138,female,89.63
138,female,42.44
138,female,75.81
138,female,0
138,female,6.53
138,female,107.66
138,female,35.68
138,female,33.74
138,female,81.92
138,female,71.62
142,female,47.73
142,female,69.5
142,female,78
142,female,47.26
142,female,8.11
142,female,39.54
142,female,18.12
142,female,40.16
142,female,49.52
142,female,27.39
142,female,29.68
142,female,30.91
142,female,25.19
142,female,26.45
142,female,67.32
142,female,56.02
142,female,8.15
142,female,10.39
142,female,32.21
