sex,Id,Strain,Repl,Sex,CS,Log CS
F,A_01,208,208.1,F,1363.264,7.218
F,A_02,208,208.1,F,1349.795,7.208
F,A_03,208,208.1,F,1320.068,7.185
F,A_04,208,208.1,F,1366.17,7.22
F,A_05,208,208.1,F,1340.447,7.201
M,A_01,208,208.1,M,1194.868,7.086
M,A_02,208,208.1,M,1150.933,7.048
M,A_03,208,208.1,M,1172.906,7.067
M,A_04,208,208.1,M,1170.967,7.066
M,A_05,208,208.1,M,1197.292,7.088
F,A_01,208,208.2,F,1359.544,7.215
F,A_02,208,208.2,F,1347.103,7.206
F,A_04,208,208.2,F,1352.004,7.209
F,A_05,208,208.2,F,1359.241,7.215
M,A_01,208,208.2,M,1172.385,7.067
M,A_02,208,208.2,M,1165.468,7.061
M,A_03,208,208.2,M,1106.495,7.009
M,A_04,208,208.2,M,1138.075,7.037
M,A_05,208,208.2,M,1171.882,7.066
F,A_01,208,208.3,F,1256.261,7.136
F,A_02,208,208.3,F,1341.721,7.202
F,A_03,208,208.3,F,1323.861,7.188
F,A_04,208,208.3,F,1318.969,7.185
F,A_05,208,208.3,F,1302.782,7.172
M,A_01,208,208.3,M,1124.172,7.025
M,A_02,208,208.3,M,1162.024,7.058
M,A_03,208,208.3,M,1189.756,7.082
M,A_05,208,208.3,M,1174.563,7.069
F,A_01,208,208.4,F,1303.83,7.173
F,A_02,208,208.4,F,1308.691,7.177
F,A_03,208,208.4,F,1336.41,7.198
F,A_04,208,208.4,F,1302.078,7.172
M,A_01,208,208.4,M,1157.67,7.054
M,A_02,208,208.4,M,1142.844,7.041
M,A_03,208,208.4,M,1165.889,7.061
M,A_04,208,208.4,M,1148.514,7.046
M,A_05,208,208.4,M,1157.755,7.054
F,A_01,301,301.1,F,1335.118,7.197
F,A_02,301,301.1,F,1303.547,7.172
F,A_03,301,301.1,F,1272.625,7.147
F,A_04,301,301.1,F,1348.616,7.207
F,A_05,301,301.1,F,1324.046,7.188
