line,life-span (hr) on 1.5% boric acid
RAL208,50.51666667
RAL208,52.55
RAL208,45.76666667
RAL208,65.91666667
RAL208,53.06666667
RAL208,54.28333333
RAL208,52.01666667
RAL208,52.03333333
RAL208,50.18333333
RAL208,35.63333333
RAL208,59.65
RAL208,60.93333333
RAL208,43.1
RAL208,59.63333333
RAL208,55.51666667
RAL208,44.23333333
RAL301,27.63333333
RAL301,45.86666667
RAL301,49.9
RAL301,56.51666667
RAL301,28.73333333
RAL301,27.03333333
RAL301,35.96666667
RAL301,43.86666667
RAL301,30.15
RAL301,44.33333333
RAL301,40.01666667
RAL301,42.3
RAL301,28.33333333
RAL301,35.63333333
RAL301,46.13333333
RAL303,36.61666667
RAL303,18.96666667
RAL303,20.83333333
RAL303,25.48333333
RAL303,25.51666667
RAL303,19.86666667
RAL303,28.41666667
RAL303,43.9
RAL303,27.81666667
RAL303,22.81666667
RAL303,39.5
RAL303,30.68333333
RAL303,22.75
RAL303,30.73333333
RAL303,29.96666667
RAL303,29.86666667
RAL304,16.16666667
RAL304,27.41666667
RAL304,28.33333333
RAL304,34.95
RAL304,20.2
RAL304,32.15
RAL304,25.13333333
RAL304,25.05
RAL304,38.15
RAL304,37.15
RAL304,30.45
RAL304,24.51666667
RAL304,29.8
RAL304,36.35
RAL304,27.4
RAL304,28.31666667
RAL307,46.48333333
RAL307,72.1
RAL307,40.38333333
RAL307,43.75
RAL307,60.01666667
RAL307,69.05
RAL307,64.55
RAL307,38.65
RAL307,36.86666667
RAL307,39.76666667
RAL307,61.7
RAL307,68.51666667
RAL307,6.45
RAL307,54.75
RAL307,41.81666667
RAL307,57.13333333
RAL313,37.46666667
RAL313,58.6
RAL313,54.11666667
RAL313,57.68333333
RAL313,70.06666667
RAL313,29.41666667
RAL313,33.91666667
RAL313,57.05
RAL313,52.4
RAL313,50.38333333
RAL313,33.91666667
RAL313,28.33333333
RAL313,51.03333333
RAL313,24.76666667
RAL313,43.4
RAL313,56.73333333
RAL315,46.21666667
RAL315,53.31666667
RAL315,46.31666667
RAL315,52.93333333
RAL315,28.3
RAL315,31.81666667
RAL315,54.06666667
RAL315,55.46666667
RAL315,50.93333333
RAL315,47.8
RAL315,34.96666667
RAL315,33.9
RAL315,34.38333333
RAL315,44.43333333
RAL315,23.53333333
RAL315,45.76666667
RAL315,38
RAL315,29.18333333
RAL315,36.68333333
RAL315,22.45
RAL315,28.68333333
RAL315,41.16666667
RAL315,47.16666667
RAL315,42.06666667
RAL315,40.83333333
RAL315,52.41666667
RAL315,33.58333333
RAL315,40.53333333
RAL324,22.23333333
RAL324,24.15
RAL324,18.75
RAL324,21.33333333
RAL324,27.5
RAL324,50.4
RAL324,24.01666667
RAL324,20.08333333
RAL324,20.78333333
RAL324,17.76666667
RAL324,42.83333333
RAL324,23.56666667
RAL324,23.26666667
RAL324,36.93333333
RAL324,17.43333333
RAL324,26.85
RAL335,64.4
RAL335,55.03333333
RAL335,64.55
RAL335,46.28333333
RAL335,64.73333333
RAL335,56.2
RAL335,28.85
RAL335,50.03333333
RAL335,63.11666667
RAL335,68.1
RAL335,66.88333333
RAL335,31.93333333
RAL335,54.13333333
RAL335,65.55
RAL335,55.68333333
RAL335,69.11666667
RAL357,35.05
RAL357,46.78333333
RAL357,14.9
RAL357,19.63333333
RAL357,35.48333333
RAL357,32.93333333
RAL357,33.26666667
RAL357,30.98333333
RAL357,25.3
RAL357,24.65
RAL357,45.78333333
RAL357,38.96666667
RAL357,47.58333333
RAL357,33.75
RAL357,32.86666667
RAL357,37.65
RAL358,52.85
RAL358,60.1
RAL358,47.96666667
RAL358,38.93333333
RAL358,58.75
RAL358,78.96666667
RAL358,71.81666667
RAL358,40.65
RAL358,42.11666667
RAL360,20.58333333
RAL360,23.45
RAL360,24.35
RAL360,21.28333333
RAL360,25.73333333
RAL360,29.06666667
RAL360,21.41666667
RAL360,24.06666667
RAL360,30.76666667
RAL360,21.96666667
RAL360,29.2
RAL360,19.11666667
RAL360,25.96666667
RAL360,42.11666667
RAL360,22.6
RAL360,18.91666667
RAL362,55.11666667
RAL362,43.96666667
RAL362,52.51666667
RAL362,61.28333333
RAL362,49.98333333
RAL362,43.3
RAL362,39.4
RAL362,39.95
RAL362,46.78333333
RAL362,42.58333333
RAL362,51.06666667
RAL362,32.13333333
RAL362,31.11666667
RAL362,38
RAL362,46.88333333
RAL362,64.63333333
RAL375,56.46666667
RAL375,25.23333333
RAL375,57.85
RAL375,59.76666667
RAL375,70.83333333
RAL375,58.7
RAL375,50.8
RAL375,39.3
RAL375,38.58333333
RAL375,73.25
RAL375,54.48333333
RAL375,68.76666667
RAL375,50
RAL375,56.56666667
RAL375,68.8
RAL375,63.08333333
RAL379,34.01666667
RAL379,33.61666667
RAL379,32.23333333
RAL379,39.28333333
RAL379,41.91666667
RAL379,42.25
RAL379,43.53333333
RAL379,31.15
RAL379,28.85
RAL379,33.06666667
RAL379,47.56666667
RAL379,37.11666667
RAL379,47.28333333
RAL379,24.95
RAL379,44.98333333
RAL379,26.08333333
RAL380,55.38333333
RAL380,39.06666667
RAL380,75.51666667
RAL380,64.63333333
RAL380,70.53333333
RAL380,76.13333333
RAL380,62.25
RAL380,46.41666667
RAL380,57.2
RAL380,52.56666667
RAL380,64.21666667
RAL380,68.03333333
RAL380,47.96666667
RAL380,23.51666667
RAL380,77.98333333
RAL380,55.78333333
RAL391,41.05
RAL391,26.51666667
RAL391,42.63333333
RAL391,31.36666667
RAL391,33.73333333
RAL391,31.61666667
RAL391,27.9
RAL391,27.8
RAL391,15.9
RAL391,38.65
RAL391,17.93333333
RAL391,38.86666667
RAL391,40.13333333
RAL391,29.46666667
RAL391,29.4
RAL391,39.7
RAL399,44.6
RAL399,38.96666667
RAL399,49.93333333
RAL399,40.78333333
RAL399,66.65
RAL399,81.16666667
RAL399,47.78333333
RAL399,38.68333333
RAL399,30.81666667
RAL399,41.36666667
RAL399,54.03333333
