Trait,Trait guild,Trait description,Reference,Life_stage
1_3-Methylhistidine.high.yeast.f,Metabolome,Mean relative 1/3-Methylhistidine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
1_3-Methylhistidine.low.yeast.f,Metabolome,Mean relative 1/3-Methylhistidine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
1-Methyladenosine.high.yeast.f,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
1-Methyladenosine.low.yeast.f,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
1-Methylguanosine.high.yeast.f,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
1-Methylguanosine.low.yeast.f,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
13-HODE.high.yeast.f,Metabolome,Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
13-HODE.low.yeast.f,Metabolome,Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
2-Hydroxyglutarate.high.yeast.f,Metabolome,Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
2-Hydroxyglutarate.low.yeast.f,Metabolome,Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
2-Phosphoglyceric.acid.high.yeast.f,Metabolome,Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
2-Phosphoglyceric.acid.low.yeast.f,Metabolome,Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
2.3-butanedione.olfactory.attraction.f,Sensory,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.attraction.m,Sensory,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.latency.30.percentile.f,Sensory,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.latency.30.percentile.m,Sensory,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.latency.90.percentile.f,Sensory,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.latency.90.percentile.m,Sensory,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.response.intensity.f,Sensory,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.response.intensity.m,Sensory,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.strength.attraction.f,Sensory,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
2.3-butanedione.olfactory.strength.attraction.m,Sensory,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",Adult
3-Hydroxybutyric.acid.high.yeast.f,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
3-Hydroxybutyric.acid.low.yeast.f,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
3-Hydroxykynurenine.high.yeast.f,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
3-Hydroxykynurenine.low.yeast.f,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
4-Pyridoxic.acid.high.yeast.f,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
4-Pyridoxic.acid.low.yeast.f,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
5-Aminovalerate.high.yeast.f,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
5-Aminovalerate.low.yeast.f,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
A.tropicalis.load.m,Microbiome,"Mean bacterial load, calculated from the DNA content of the bacterial strain and the DNA content of the fly. Higher values indicate a greater bacterial load. The bacteria measured here is A. tropicalis; a commensal gut bacteria commonly found in the GI tract of D.melanogaster.",Early et al (2017) PLOS One,Adult
abdomen.curling.same.sex.m,Behavioural,"Incidence of DGRP males abdomen curling in the presence of an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of abdomen curling.",Bailey and Hoskins (2014) Evolution,Adult
abdomen.length.18C.f,Morphological,"Mean adult abdomen length, when reared at 18C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",Adult
abdomen.length.28C.f,Morphological,"Mean adult abdomen length, when reared at 28C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",Adult
abdomen.length.thermal.plasticity.f,Morphological,"Flies were reared at 18C and 28C, after which adult abdomen lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",Adult
acclimated.acute.cold.exposure.resistance.18C.f,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acclimated.acute.cold.exposure.resistance.18C.m,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acclimated.acute.cold.exposure.resistance.25C.f,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acclimated.acute.cold.exposure.resistance.25C.m,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acetoacetate.high.yeast.f,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
acetoacetate.low.yeast.f,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
acetylcarnitine.high.yeast.f,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
acetylcarnitine.low.yeast.f,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
acetylcholine.high.yeast.f,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
acetylcholine.low.yeast.f,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
activity.same.sex.m,Behavioural,"An overall measure of activity level obtained by summing the total number of tapping, orientating, following, licking, singing and abdomen curling for a male housed in a vial with a single additional male. Higher values indicate greater activity.",Bailey and Hoskins (2014) Evolution,Adult
acute.cold.exposure.resistance.18C.-6.f,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acute.cold.exposure.resistance.18C.-6.m,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acute.cold.exposure.resistance.18C.-8.f,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acute.cold.exposure.resistance.18C.-8.m,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acute.cold.exposure.resistance.25C.f,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
acute.cold.exposure.resistance.25C.m,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,Adult
adenine.high.yeast.f,Metabolome,Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
adenine.low.yeast.f,Metabolome,Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
adenosine.high.yeast.f,Metabolome,Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
adenosine.low.yeast.f,Metabolome,Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
ADP.high.yeast.f,Metabolome,Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
ADP.low.yeast.f,Metabolome,Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
aggression.2015.m,Behavioural,Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.,Shorter et al (2015) PNAS,Adult
agmatine.high.yeast.f,Metabolome,Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
agmatine.low.yeast.f,Metabolome,Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
alanine.high.yeast.f,Metabolome,Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
alanine.low.yeast.f,Metabolome,Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
allantoin.high.yeast.f,Metabolome,Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
allantoin.low.yeast.f,Metabolome,Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
alpha-amanitin.resistance.0.2,Pathogen response,"Mean number of flies exposed to alpha-amanitin, at concentration 0.2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.",Mitchell et al (2017) PLOS One,Juvenile
alpha-amanitin.resistance.2,Pathogen response,"Mean number of flies exposed to alpha-amanitin, at concentration 2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.",Mitchell et al (2017) PLOS One,Juvenile
alpha-amanitin.resistance.LC50,Pathogen response,"Mean alpha-amanitin concentration required for 50% of larvae to die prior to reaching adulthood (LC50). Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a higher LC50 and a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.",Mitchell et al (2017) PLOS One,Juvenile
alpha-Ketoglutaric.acid.high.yeast.f,Metabolome,Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
alpha-Ketoglutaric.acid.low.yeast.f,Metabolome,Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
amino.acid.pref.post.limitation.f,Sensory,Mean change in amino acid diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the amino acid mixture after deprivation.,Toshima et al (2014) Journal of Insect Physiology,Adult
amino.acid.pref.post.limitation.m,Sensory,Mean change in amino acid diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the amino acid mixture after deprivation.,Toshima et al (2014) Journal of Insect Physiology,Adult
aminoisobutyrate.high.yeast.f,Metabolome,Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
aminoisobutyrate.low.yeast.f,Metabolome,Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
AMP.high.yeast.f,Metabolome,Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
AMP.low.yeast.f,Metabolome,Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
anoxia.tolerance.adult.f,Stress response,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3,Adult
anoxia.tolerance.adult.m,Stress response,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3,Adult
anoxia.tolerance.larval,Stress response,"Mean survival (larvae that pupated) for late third instar larvae, 24 hours after exposure to one hour of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3,Juvenile
anthranilate.high.yeast.f,Metabolome,Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
anthranilate.low.yeast.f,Metabolome,Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
arachidonate.high.yeast.f,Metabolome,Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
arachidonate.low.yeast.f,Metabolome,Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
arginine.high.yeast.f,Metabolome,Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
arginine.low.yeast.f,Metabolome,Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
asparagine.high.yeast.f,Metabolome,Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
asparagine.low.yeast.f,Metabolome,Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
aspartic.acid.high.yeast.f,Metabolome,Mean relative aspartic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
aspartic.acid.low.yeast.f,Metabolome,Mean relative aspartic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
azinphos.methyl.resistance.0.25,Insecticide response,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 0.25 ug/ml. Higher values indicate greater mortality.,Battlay et al (2016) G3,Juvenile
azinphos.methyl.resistance.0.5,Insecticide response,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 0.5 ug/ml. Higher values indicate greater mortality.,Battlay et al (2016) G3,Juvenile
azinphos.methyl.resistance.1,Insecticide response,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 1 ug/ml. Higher values indicate greater mortality.,Battlay et al (2016) G3,Juvenile
azinphos.methyl.resistance.2,Insecticide response,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 2 ug/ml. Higher values indicate greater mortality.,Battlay et al (2016) G3,Juvenile
azinphos.methyl.resistance.LD50,Insecticide response,Mean dosage (ug/ml) of azinphos-methyl (an organophosphate insecticide) required for 50% of larvae to die. Higher values indicate greater resistance.,Battlay et al (2016) G3,Juvenile
