line,Trait,trait_value
208,mitochondrial.state.3.respiration.f,2401.5519953262874
301,mitochondrial.state.3.respiration.f,2210.090571092578
303,mitochondrial.state.3.respiration.f,2640.82336990316
304,mitochondrial.state.3.respiration.f,2299.8651762142354
306,mitochondrial.state.3.respiration.f,2281.646317975547
307,mitochondrial.state.3.respiration.f,1461.4745813506836
313,mitochondrial.state.3.respiration.f,1769.0339006446761
315,mitochondrial.state.3.respiration.f,2916.049524751844
324,mitochondrial.state.3.respiration.f,2189.9232140049535
335,mitochondrial.state.3.respiration.f,1331.5818272813563
357,mitochondrial.state.3.respiration.f,1888.5403934333885
358,mitochondrial.state.3.respiration.f,2270.8495277986513
360,mitochondrial.state.3.respiration.f,2013.2342650196506
362,mitochondrial.state.3.respiration.f,2082.515825486372
365,mitochondrial.state.3.respiration.f,2209.7294459628124
375,mitochondrial.state.3.respiration.f,2219.0758164418903
379,mitochondrial.state.3.respiration.f,2646.1216096236735
380,mitochondrial.state.3.respiration.f,1434.242977088652
391,mitochondrial.state.3.respiration.f,2069.0667530507017
399,mitochondrial.state.3.respiration.f,1894.9356600614328
427,mitochondrial.state.3.respiration.f,2397.3125304584787
437,mitochondrial.state.3.respiration.f,2383.6299062063717
486,mitochondrial.state.3.respiration.f,2191.9653903990456
514,mitochondrial.state.3.respiration.f,1652.8262317596423
517,mitochondrial.state.3.respiration.f,2276.4898460713543
555,mitochondrial.state.3.respiration.f,2250.489229379544
639,mitochondrial.state.3.respiration.f,2219.918226151623
705,mitochondrial.state.3.respiration.f,1870.65530868976
707,mitochondrial.state.3.respiration.f,2366.3290967223174
712,mitochondrial.state.3.respiration.f,1933.7268632209634
714,mitochondrial.state.3.respiration.f,2196.921343626778
730,mitochondrial.state.3.respiration.f,2356.7106327825154
732,mitochondrial.state.3.respiration.f,2532.612319356362
765,mitochondrial.state.3.respiration.f,1740.3152064325127
774,mitochondrial.state.3.respiration.f,2285.277555531514
786,mitochondrial.state.3.respiration.f,2239.18407318312
799,mitochondrial.state.3.respiration.f,1665.1529226635275
820,mitochondrial.state.3.respiration.f,2363.9580644871585
852,mitochondrial.state.3.respiration.f,2497.1864511249923
859,mitochondrial.state.3.respiration.f,2255.7101544548023
208,mitochondrial.state.3.respiration.m,1720.8400906603183
301,mitochondrial.state.3.respiration.m,1626.3696691021532
303,mitochondrial.state.3.respiration.m,1920.373802179279
304,mitochondrial.state.3.respiration.m,1648.145113966788
306,mitochondrial.state.3.respiration.m,1596.3079459175208
307,mitochondrial.state.3.respiration.m,1020.4622384501781
313,mitochondrial.state.3.respiration.m,1262.1980403193875
315,mitochondrial.state.3.respiration.m,2123.945685913432
324,mitochondrial.state.3.respiration.m,1573.064902273336
335,mitochondrial.state.3.respiration.m,976.0458828568139
357,mitochondrial.state.3.respiration.m,1335.8487504874684
358,mitochondrial.state.3.respiration.m,1620.7985775011045
360,mitochondrial.state.3.respiration.m,1450.0017317207526
362,mitochondrial.state.3.respiration.m,1502.6688117954245
365,mitochondrial.state.3.respiration.m,1567.0800398862445
375,mitochondrial.state.3.respiration.m,1596.8511077084997
379,mitochondrial.state.3.respiration.m,1888.9550004115436
380,mitochondrial.state.3.respiration.m,1013.0343788650285
391,mitochondrial.state.3.respiration.m,1497.4804169119368
399,mitochondrial.state.3.respiration.m,1364.1801414085628
427,mitochondrial.state.3.respiration.m,1718.1988250924417
437,mitochondrial.state.3.respiration.m,1714.9102561541763
486,mitochondrial.state.3.respiration.m,1575.2179242212424
514,mitochondrial.state.3.respiration.m,1204.5987941342505
517,mitochondrial.state.3.respiration.m,1721.243261073116
555,mitochondrial.state.3.respiration.m,1645.9376544131892
639,mitochondrial.state.3.respiration.m,1593.6408215885863
705,mitochondrial.state.3.respiration.m,1371.9217626818192
707,mitochondrial.state.3.respiration.m,1713.292668929589
712,mitochondrial.state.3.respiration.m,1362.9280009911427
714,mitochondrial.state.3.respiration.m,1625.9008399617474
730,mitochondrial.state.3.respiration.m,1756.637612922759
732,mitochondrial.state.3.respiration.m,1803.5217902312943
765,mitochondrial.state.3.respiration.m,1254.2360382454592
774,mitochondrial.state.3.respiration.m,1613.4377532148967
786,mitochondrial.state.3.respiration.m,1669.3626670921292
799,mitochondrial.state.3.respiration.m,1212.8383260475753
820,mitochondrial.state.3.respiration.m,1691.5381863900166
852,mitochondrial.state.3.respiration.m,1776.0803346524815
859,mitochondrial.state.3.respiration.m,1633.2336053609474
208,mitochondrial.state.4.respiration.f,250.70517045872472
301,mitochondrial.state.4.respiration.f,254.03037172166856
303,mitochondrial.state.4.respiration.f,242.978460205481
304,mitochondrial.state.4.respiration.f,297.0531110505897
306,mitochondrial.state.4.respiration.f,222.14735678265032
307,mitochondrial.state.4.respiration.f,250.5084869636367
313,mitochondrial.state.4.respiration.f,237.00639269526118
315,mitochondrial.state.4.respiration.f,272.4149974514909
324,mitochondrial.state.4.respiration.f,251.97203046708754
335,mitochondrial.state.4.respiration.f,270.12933872427993
357,mitochondrial.state.4.respiration.f,269.4801838956403
358,mitochondrial.state.4.respiration.f,223.45778754112027
360,mitochondrial.state.4.respiration.f,239.91058261606838
