Trait,Sex,Trait guild,Trait description,Reference,Life_stage
mitochondrial.state.3.respiration.f,Female,Physiological,"Mean mitochondrial state 3 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 3 respiration occurs when protons re-enter the mitochondrial matrix in the presence of ADP, which results in the production of ATP. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics,Adult
mitochondrial.state.3.respiration.m,Male,Physiological,"Mean mitochondrial state 3 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 3 respiration occurs when protons re-enter the mitochondrial matrix in the presence of ADP, which results in the production of ATP. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics,Adult
mitochondrial.state.4.respiration.f,Female,Physiological,"Mean mitochondrial state 4 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 4 respiration occurs when protons leak into the mitochondrial matrix in the absence of ADP, which is required for ATP synthase. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics,Adult
mitochondrial.state.4.respiration.m,Male,Physiological,"Mean mitochondrial state 4 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 4 respiration occurs when protons leak into the mitochondrial matrix in the absence of ADP, which is required for ATP synthase. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics,Adult
mitochondrial.PO.ratio.f,Female,Physiological,Mean phosphate/oxygen ratio (P:O ratio) - a measure of the efficiency with which mitochondria convert oxygen into ATP. The ratio was here calculated as the amount of ADP consumed per oxygen being reduced during state 3 respriation. Mitochondria were sourced from the thorax and respiration was measured in vitro. Higher values indicate more efficient ATP production.,Jumbo-Lucioni et al (2012) BMC Genomics,Adult
mitochondrial.PO.ratio.m,Male,Physiological,Mean phosphate/oxygen ratio (P:O ratio) - a measure of the efficiency with which mitochondria convert oxygen into ATP. The ratio was here calculated as the amount of ADP consumed per oxygen being reduced during state 3 respriation. Mitochondria were sourced from the thorax and respiration was measured in vitro. Higher values indicate more efficient ATP production.,Jumbo-Lucioni et al (2012) BMC Genomics,Adult
T1.leg.length.f,Female,Morphological,Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One,Adult
T1.leg.length.m,Male,Morphological,Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One,Adult
T2.leg.length.f,Female,Morphological,Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One,Adult
T2.leg.length.m,Male,Morphological,Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One,Adult
