Trait,# lines measured,Sex,Life_stage,Trait guild,Trait description,Reference
activity.MPH.m,172,Male,Adult,Activity,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet, supplemented with MPH (1.5 mg ml^-1). MPH, methylphenidate, is a drug used to treat attention-deficit/hyperactivity disorder (ADHD) in humans. Higher values indicate more active flies.",Rohde et al (2019) Genetics
activity.m,172,Male,Adult,Activity,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet. Higher values indicate more active flies.",Rohde et al (2019) Genetics
basal.activity.f,153,Female,Adult,Activity,"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",Watanabe et al (2020) G3
basal.activity.m,151,Male,Adult,Activity,"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",Watanabe et al (2020) G3
circadian.period.chi.f,161,Female,Adult,Activity,Mean length of the circadian cycle. Calculated using the Chi square Periodogram method. Higher values indicate a longer circadian cycle.,Harbison et al (2018) Behavior Genetics
circadian.period.chi.m,166,Male,Adult,Activity,Mean length of the circadian cycle. Calculated using the Chi square Periodogram method. Higher values indicate a longer circadian cycle.,Harbison et al (2018) Behavior Genetics
circadian.period.mesa.f,161,Female,Adult,Activity,Mean length of the circadian cycle. Calculated using the Maximum Entropy Spectral Analysis method (MESA period). Higher values indicate a longer circadian cycle.,Harbison et al (2018) Behavior Genetics
circadian.period.mesa.m,166,Male,Adult,Activity,Mean length of the circadian cycle. Calculated using the Maximum Entropy Spectral Analysis method (MESA period). Higher values indicate a longer circadian cycle.,Harbison et al (2018) Behavior Genetics
circadian.rythmicity.index.f,167,Female,Adult,Activity,"A measure of how consistent a flies activity patterns are, which is an indicator of strength or robustness of the circadian rhythm. Higher values indicate greater rythmicity.",Harbison et al (2018) Behavior Genetics
circadian.rythmicity.index.m,167,Male,Adult,Activity,"A measure of how consistent a flies activity patterns are, which is an indicator of strength or robustness of the circadian rhythm. Higher values indicate greater rythmicity.",Harbison et al (2018) Behavior Genetics
climbing.ability.control.exercise.m,4,Male,Adult,Activity,Mean climbing index score - calculated using a design that takes advantage of negative geotaxis - measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate greater climbing ability.,Mendez et al (2016) PLOS One
climbing.ability.f,99,Female,Adult,Activity,Mean centimetres climbed in three seconds following vial inversion. Flies were maintained on 1% sucrose solution prior to the climbing trial. Higher values indicate greater climbing ability.,Lovejoy et al (2021) Molecular Ecology
climbing.ability.m,99,Male,Adult,Activity,Mean centimetres climbed in three seconds following vial inversion. Flies were maintained on 1% sucrose solution prior to the climbing trial. Higher values indicate greater climbing ability.,Lovejoy et al (2021) Molecular Ecology
climbing.ability.post.exercise.m,4,Male,Adult,Activity,Mean climbing index score - calculated using a design that takes advantage of negative geotaxis - following a three-day exercise regime. Higher values indicate greater climbing ability.,Mendez et al (2016) PLOS One
climbing.ability.pre.exercise.m,4,Male,Adult,Activity,Mean climbing index score - calculated using a design that takes advantage of negative geotaxis - prior to a three-day exercise regime. Higher values indicate greater climbing ability.,Mendez et al (2016) PLOS One
