Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
activity.m,7.121827411167513,32.264033264033266,60.77606177606177,0.42882657617431685,5.859434643253128,No,No,Yes,No,No,Activity (M),Adult,Activity,92,Rohde et al (2019) Genetics,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet. Higher values indicate more active flies.",Traits measured in males,1
activity.MPH.m,4.659709939865582,56.34767025089606,56.971014492753625,0.2560841576385618,4.320195332634199,No,Yes,Yes,No,No,Activity MPH (M),Adult,Activity,92,Rohde et al (2019) Genetics,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet, supplemented with MPH (1.5 mg ml^-1). MPH, methylphenidate, is a drug used to treat attention-deficit/hyperactivity disorder (ADHD) in humans. Higher values indicate more active flies.",Traits measured in males,2
basal.activity.f,13.311270125223613,3.8899755501222493,17.73536299765808,2.1146583609110374,3.068412388519143,No,No,No,No,No,Basal activity (F),Adult,Activity,111,Watanabe et al (2020) G3,"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",Traits measured in females,3
basal.activity.m,0.1263639563533967,0.7245095925846088,0.18002802566560955,0.2977532646605564,1.2828603026823076,No,No,No,No,No,Basal activity (M),Adult,Activity,111,Watanabe et al (2020) G3,"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",Traits measured in males,4
circadian.period.chi.f,2.9399162767791185,0.5523430678179878,1.4513559062356365,3.3632397054813197,0.751330905450529,No,No,No,No,No,Circadian period chi (F),Adult,Activity,43,Harbison et al (2018) Behavior Genetics,Mean length of the circadian cycle. Calculated using the Chi square Periodogram method. Higher values indicate a longer circadian cycle.,Traits measured in females,5
circadian.period.chi.m,28.739776951672862,6.085916740478299,45.9208211143695,2.474484256243214,5.051095068565527,No,No,Yes,No,No,Circadian period chi (M),Adult,Activity,43,Harbison et al (2018) Behavior Genetics,Mean length of the circadian cycle. Calculated using the Chi square Periodogram method. Higher values indicate a longer circadian cycle.,Traits measured in males,6
circadian.period.mesa.f,104.26315789473684,3.6498111014240044,67.6695278969957,6.349563619660083,3.535634638755127,Yes,No,Yes,No,No,Circadian period mesa (F),Adult,Activity,43,Harbison et al (2018) Behavior Genetics,Mean length of the circadian cycle. Calculated using the Maximum Entropy Spectral Analysis method (MESA period). Higher values indicate a longer circadian cycle.,Traits measured in females,7
circadian.period.mesa.m,62.241106719367586,6.397133610725843,106.38255033557047,3.6865846514352665,5.815485272401899,Yes,No,Yes,No,No,Circadian period mesa (M),Adult,Activity,43,Harbison et al (2018) Behavior Genetics,Mean length of the circadian cycle. Calculated using the Maximum Entropy Spectral Analysis method (MESA period). Higher values indicate a longer circadian cycle.,Traits measured in males,8
circadian.rythmicity.index.f,11.759170653907496,6.677543186180422,25.446280991735538,1.4585125998770743,4.313261602087848,No,No,No,No,No,Circadian rythmicity index (F),Adult,Activity,43,Harbison et al (2018) Behavior Genetics,"A measure of how consistent a flies activity patterns are, which is an indicator of strength or robustness of the circadian rhythm. Higher values indicate greater rythmicity.",Traits measured in females,9
circadian.rythmicity.index.m,4.322687957418497,4.614035087719298,8.981285090455396,0.9982515299113276,2.3437040403961245,No,No,No,No,No,Circadian rythmicity index (M),Adult,Activity,43,Harbison et al (2018) Behavior Genetics,"A measure of how consistent a flies activity patterns are, which is an indicator of strength or robustness of the circadian rhythm. Higher values indicate greater rythmicity.",Traits measured in males,10
climbing.ability.f,2.3684210526315788,24.356576862123614,18.161676646706585,0.2557883996546582,2.195945144597792,No,No,No,No,No,Climbing ability (F),Adult,Activity,65,Lovejoy et al (2021) Molecular Ecology,Mean centimetres climbed in three seconds following vial inversion. Flies were maintained on 1% sucrose solution prior to the climbing trial. Higher values indicate greater climbing ability.,Traits measured in females,11
climbing.ability.m,3.9720323182100685,17.07909604519774,21.566995768688294,0.43820224719101125,3.2700727613726546,No,No,No,No,No,Climbing ability (M),Adult,Activity,65,Lovejoy et al (2021) Molecular Ecology,Mean centimetres climbed in three seconds following vial inversion. Flies were maintained on 1% sucrose solution prior to the climbing trial. Higher values indicate greater climbing ability.,Traits measured in males,12
day.sleep.bout.length.f,0.0033864291985450895,27.571428571428573,0.2855535915153463,7.505629221916438e-4,0.03965098916293805,Yes,No,No,Yes,No,Day sleep bout length (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The mean length of a sleep bout during the 12-hour light period of the light cycle. Higher values indicate longer bouts.,Traits measured in females,13
day.sleep.bout.length.m,0.050558108995403805,48.23076923076923,1.3995200959808038,0.004268139593271403,0.07121710767196479,No,Yes,No,Yes,No,Day sleep bout length (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The mean length of a sleep bout during the 12-hour light period of the light cycle. Higher values indicate longer bouts.,Traits measured in males,14
day.sleep.bout.length.SD.f,0.022625591205419914,42.01075268817204,0.8766127140511377,0.0019412611935625274,0.0464040292833551,Yes,Yes,No,Yes,No,Day sleep bout length SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,15
day.sleep.bout.length.SD.m,0.0374116579135058,61.745098039215684,1.456625211116229,0.00256908327589448,0.053574814326987776,No,Yes,No,Yes,No,Day sleep bout length SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,16
day.sleep.bouts.f,3.7904191616766467,0.0985238585650532,0.570320934340956,14.54907677356657,0.35316709816487285,No,No,No,No,No,Day sleep bouts (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics","Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",Traits measured in females,17
day.sleep.bouts.m,2.798670465337132,0.028409821313793545,0.23561664993435785,24.039123630672925,0.3818461516405147,No,No,No,No,No,Day sleep bouts (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics","Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",Traits measured in males,18
day.sleep.bouts.SD.f,0.9230769230769231,0.15074798619102417,0.26552242347544097,3.340748779164406,1.0608358750309126,No,No,No,No,No,Day sleep bouts SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,19
day.sleep.bouts.SD.m,1.3054755043227666,3.1407867494824018,2.7243947858473,0.5478378639837477,1.1470803732699226,No,No,No,No,No,Day sleep bouts SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,20
day.sleep.f,0.09980753368160572,1.9059208136578278,0.32625994694960214,0.12391121101432986,0.5934129900404717,No,No,No,No,No,Day sleep (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Higher values indicate a higher line average for sleep duration.,Traits measured in females,21
day.sleep.m,0.20836794804017825,30.25,2.7322136692325634,0.02570677607538945,0.23977418752948346,No,No,No,No,No,Day sleep (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Higher values indicate a higher line average for sleep duration.,Traits measured in males,22
day.sleep.SD.f,0.144001144001144,1.0291693088142042,0.26612328875524255,0.2476606363069245,0.978716737269238,No,No,No,No,No,Day sleep SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,23
day.sleep.SD.m,0.04718895215655475,0.03319126953377244,0.006669183339625016,1.1239877870702244,12.460357040176858,No,No,Yes,No,No,Day sleep SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,24
exercise.induced.activity.f,11.769353551476456,3.434589800443459,15.276703967446592,2.125610470795077,2.72448408330088,No,No,No,No,No,Exercise induced activity (F),Adult,Activity,111,Watanabe et al (2020) G3,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Traits measured in females,25
exercise.induced.activity.m,1.032520325203252,1.270469703419895,1.2108608539450048,0.8750732450486347,1.0038192795468162,No,No,No,No,No,Exercise induced activity (M),Adult,Activity,111,Watanabe et al (2020) G3,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Traits measured in males,26
flight.performance.f,6.09849157054126,6.497656982193065,15.701461377870563,0.9363427326636815,3.2252641483300106,No,No,No,No,No,Flight performance (F),Adult,Activity,97,Spierer et al (2021) PLOS Genetics,"Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Traits measured in females,27
flight.performance.m,67.08510638297872,19.61855670103093,325.53061224489795,1.7031593174522723,15.190972520883834,Yes,No,Yes,No,No,Flight performance (M),Adult,Activity,97,Spierer et al (2021) PLOS Genetics,"Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Traits measured in males,28
lead.locomotor.activity.2016.f,4.345806882726362,0.7907106883044208,2.3201909109773813,3.2849491162292446,0.8636738588219004,No,No,No,No,No,Lead locomotor activity  (F),Adult,Activity,118,Zhou et al (2016) Environmental Health Perspectives,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.",Traits measured in females,29
lead.locomotor.activity.2016.m,1.3937761819269898,1.6455026455026456,1.7624309392265194,0.899335232668566,1.0836328555563195,No,No,No,No,No,Lead locomotor activity  (M),Adult,Activity,118,Zhou et al (2016) Environmental Health Perspectives,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.",Traits measured in males,30
locomotor.activity.2016.f,2.592276605298608,1.771522605231249,2.9138943248532287,1.2863675335810232,1.281515563732729,No,No,No,No,No,Locomotor activity  (F),Adult,Activity,118,Zhou et al (2016) Environmental Health Perspectives,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.",Traits measured in females,31
locomotor.activity.2016.m,0.27581532573160034,1.309135517390677,0.5060240963855421,0.3305613305613306,0.8587519575526109,No,No,No,No,No,Locomotor activity  (M),Adult,Activity,118,Zhou et al (2016) Environmental Health Perspectives,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.",Traits measured in males,32
locomotor.activity.m,0.7619204933377381,47.048048048048045,9.6171201061712015,0.06375905857323316,0.7706943364217149,No,Yes,No,No,No,Locomotor activity (M),Adult,Activity,91,Rohde et al (2018) G3,Mean total distance traveled by individual flies during a five minute interval. Higher values indicate more active lines.,Traits measured in males,33
locomotor.frequency.f,10.243851018973999,162.26530612244898,346.82608695652175,0.2959663048760732,9.641352662241966,No,Yes,Yes,No,No,Locomotor frequency (F),Adult,Activity,68,Maesani et al (2015) PLOS Computational Biology,The proportion of flies engaging in a ‘walking bout’ at a given time point. Higher values indicate more active lines.,Traits measured in females,34
negative.geotaxis.f,6.302601551802829,11.232415902140673,23.691358024691358,0.7187667848318832,4.094289731042196,No,No,No,No,No,Negative geotaxis (F),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Higher values indicate faster climbing and greater negative geotaxis.,Traits measured in females,35
negative.geotaxis.m,2.1626803716149436,1.6755852842809364,2.5250055078211058,1.2053756030323914,1.2046470515084782,No,No,No,No,No,Negative geotaxis (M),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Higher values indicate faster climbing and greater negative geotaxis.,Traits measured in males,36
negative.geotaxis.msb.f,20.05263157894737,50.282051282051285,204.12820512820514,0.6813787305590584,14.349783184312532,No,Yes,Yes,No,No,Negative geotaxis msb (F),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Higher values indicate faster climbing and greater negative geotaxis.,Traits measured in females,37
negative.geotaxis.msb.m,5.944444444444445,26.397260273972602,41.10526315789474,0.4692378328741965,4.882768195402029,No,No,Yes,No,No,Negative geotaxis msb (M),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Higher values indicate faster climbing and greater negative geotaxis.,Traits measured in males,38
night.sleep.bout.length.f,0.30868640601995745,6.956240676280458,1.588159171789065,0.10177661479135106,0.43321796600527895,No,No,No,No,No,Night sleep bout length (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The mean length of a sleep bout during the 12-hour dark period of the light cycle. Higher values indicate longer bouts.,Traits measured in females,39
night.sleep.bout.length.m,1.3745918670228554,19.278833967046896,9.075566750629722,0.1910078904272741,1.331523815841823,No,No,No,No,No,Night sleep bout length (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The mean length of a sleep bout during the 12-hour dark period of the light cycle. Higher values indicate longer bouts.,Traits measured in males,40
night.sleep.bout.length.SD.f,1.6626726576801465,10.799410029498524,7.130081300813008,0.2962812930405898,1.5210847376760117,No,No,No,No,No,Night sleep bout length SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,41
night.sleep.bout.length.SD.m,1.6376524892845368,24.477707006369428,12.212221304706853,0.18773661940464703,1.5732495590495637,No,No,No,No,No,Night sleep bout length SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,42
night.sleep.bouts.f,1.772002772002772,0.6616471076955032,1.1239877870702244,2.0326004548900682,0.8926676458461593,No,No,No,No,No,Night sleep bouts (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics","Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",Traits measured in females,43
night.sleep.bouts.m,0.6306563391765185,0.046504022499836484,0.0912563088255354,5.149116064565718,1.5200654303488168,No,No,No,No,No,Night sleep bouts (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics","Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",Traits measured in males,44
night.sleep.bouts.SD.f,21.82453637660485,1.2377622377622377,9.899182561307901,6.924715205547301,1.214691885317025,No,No,No,No,No,Night sleep bouts SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,45
night.sleep.bouts.SD.m,1.546554193856438,0.05097214923804519,0.20481927710843373,9.876954452753228,0.6753135532552336,No,No,No,No,No,Night sleep bouts SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,46
night.sleep.f,0.6004801440432129,11.432012432012431,3.3537414965986394,0.12906640321783924,0.6536215519907465,No,No,No,No,No,Night sleep (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Higher values indicate a higher line average for sleep duration.,Traits measured in females,47
night.sleep.m,2.81770460510618,12.651877133105803,12.757523645743767,0.40634613694295507,2.3691172186421254,No,No,No,No,No,Night sleep (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics",The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Higher values indicate a higher line average for sleep duration.,Traits measured in males,48
night.sleep.SD.f,1.7303754266211604,0.20219400405740476,0.5019243405613443,4.621925509486999,0.6984854021814391,No,No,No,No,No,Night sleep SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,49
night.sleep.SD.m,0.13306423057857092,0.045205121505095376,0.021254866917725154,1.7383193564949513,5.643231284304764,No,No,Yes,No,No,Night sleep SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,50
phototaxis.mid.age.f,12.029315960912053,97.76543209876543,224.35211267605635,0.3669372063220846,10.720469727125485,No,Yes,Yes,No,No,Phototaxis mid age (F),Adult,Activity,14,Carbone et al (2017) PNAS,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Traits measured in females,51
phototaxis.mid.age.m,9.19108280254777,0.5048908954100828,2.8204393505253105,8.280742459396752,0.5817356978963903,No,No,No,No,No,Phototaxis mid age (M),Adult,Activity,14,Carbone et al (2017) PNAS,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Traits measured in males,52
