Trait,R_diff,sd,2.5%,97.5%,Trait_Sex
FBgn0000014,0.2194521,0.12340701312189929,-0.02326212500000003,0.4572324750000001,Female
FBgn0000015,0.044454770000000005,0.1254024074424966,-0.20257456,0.29282232500000005,Female
FBgn0000017,-0.15521018,0.12331887005178396,-0.398060725,0.08498722977499976,Female
FBgn0000018,0.0379622,0.1275875175780494,-0.21318308849999995,0.2929118499999999,Female
FBgn0000022,-0.1733359,0.12516832833006872,-0.41794380000000003,0.0779521899999998,Female
FBgn0000024,0.14299689999999998,0.12196009543427047,-0.10142674474999999,0.37818077499999997,Female
FBgn0000028,0.0753143,0.12314113838216835,-0.16836407374999998,0.3137949227499998,Female
FBgn0000032,0.1307038,0.12434561776007144,-0.10730228399999997,0.3754845225,Female
FBgn0000036,0.029806300000000004,0.12670922038793242,-0.22018565699999998,0.27708799499999964,Female
FBgn0000037,-0.0287068,0.12558246841719484,-0.275311325,0.21675705349999996,Female
FBgn0000038,0.19022195,0.124277681282243,-0.057568684999999994,0.42881159249999995,Female
FBgn0000039,0.05966679999999999,0.12646152351865497,-0.186592005,0.30458899499999986,Female
FBgn0000042,0.04481785,0.12379653852220941,-0.196588655,0.28999164999999993,Female
FBgn0000043,0.07076217500000001,0.12541080369046986,-0.17102699,0.31935104000000003,Female
FBgn0000044,0.13526676999999998,0.1243829215457839,-0.11486934499999998,0.37660204999999997,Female
FBgn0000045,0.1351232,0.1287195729676714,-0.118063204,0.39129175999999977,Female
FBgn0000046,0.06785925,0.1278409479748763,-0.17965812999999997,0.3171523249999999,Female
FBgn0000047,0.13191925,0.12724802098474786,-0.1248334175,0.3766995,Female
FBgn0000052,-0.14085185,0.12451636415153416,-0.3841973525,0.10973694249999996,Female
FBgn0000053,-0.05468015,0.12867433070201062,-0.3061945025,0.20053592999999978,Female
FBgn0000056,-0.2139798,0.1223715431267042,-0.449229025,0.03222300749999987,Female
FBgn0000057,-0.12589709999999998,0.1264995418383106,-0.36776781999999997,0.12414180999999996,Female
FBgn0000061,0.02440332,0.1261146586017325,-0.2208181525,0.27468907499999995,Female
FBgn0000063,-0.1266121,0.12308102850463629,-0.36650081,0.11173324999999992,Female
FBgn0000064,0.1737669,0.12448295123434108,-0.07723341249999999,0.41500152999999995,Female
FBgn0000071,0.0128045,0.12718404630596733,-0.23838136499999998,0.2594168575,Female
FBgn0000075,-0.14676845,0.12850647135778284,-0.40172415000000006,0.10631579349999995,Female
FBgn0000077,-0.21814204999999998,0.12720828297719067,-0.46026877499999996,0.03393919249999999,Female
FBgn0000078,-0.0765142895,0.12547473759142427,-0.31608442125,0.176577625,Female
FBgn0000079,0.0035980500000000054,0.12315868419787639,-0.23785387249999998,0.23881138499999988,Female
FBgn0000083,-0.0459069,0.1275603553858285,-0.29404162500000003,0.20678599749999976,Female
FBgn0000084,0.106389065,0.12620769203741375,-0.14376853250000002,0.353755425,Female
FBgn0000092,-0.086987,0.12533694211716567,-0.33575113249999994,0.15842504499999996,Female
FBgn0000094,-0.2072915,0.1273334496231472,-0.44395973,0.052787668249999996,Female
FBgn0000097,-0.004309349999999998,0.12604581873733747,-0.250246525,0.24100544249999972,Female
FBgn0000100,-0.007777849999999992,0.12571388697660574,-0.25423307749999996,0.23809429999999993,Female
FBgn0000108,0.11425435,0.1278720369698993,-0.13321854025,0.365781175,Female
FBgn0000109,-0.04389305,0.12444460494059273,-0.282965775,0.20245730749999982,Female
FBgn0000114,-0.016114449999999995,0.1266370019789582,-0.26115975,0.2330398949999998,Female
FBgn0000115,0.04976029999999999,0.12377269487891941,-0.1951198675,0.28724522999999996,Female
FBgn0000116,0.17569105000000002,0.1285160536258251,-0.08267197999999998,0.42738425,Female
FBgn0000117,-0.12862605,0.12827553162753186,-0.374236975,0.12404180999999902,Female
FBgn0000119,-0.025381615000000007,0.12893944105213714,-0.276397275,0.23119072499999999,Female
FBgn0000120,0.005099999999999993,0.13044307310985073,-0.2554508075,0.257590327,Female
FBgn0000121,-0.07654605,0.1320426462882295,-0.3376111275,0.1833820474999997,Female
FBgn0000137,-0.111501715,0.1273294968186031,-0.36036242500000004,0.1353309099999999,Female
FBgn0000139,0.1716277,0.12660208820562427,-0.07823954500000001,0.41876342499999997,Female
FBgn0000140,-0.13903645,0.12644585124512234,-0.3854284275,0.1139657955,Female
FBgn0000146,-0.15073365500000002,0.12370824401363568,-0.39031977500000004,0.09734321499999994,Female
FBgn0000147,-0.08846305,0.125939132088058,-0.33099199999999995,0.16634608749999985,Female
FBgn0000150,-0.044640849999999996,0.12669373824895874,-0.298588431,0.198822755,Female
FBgn0000152,0.1231188,0.12716638408115474,-0.12271275249999998,0.37324587749999993,Female
FBgn0000153,0.11520306,0.12635862227001873,-0.13889100499999998,0.3574386499999999,Female
FBgn0000157,0.06327569999999999,0.12823389655618508,-0.18305812819999998,0.3084806549999998,Female
FBgn0000158,-0.0294211,0.12553363334587578,-0.27742475175,0.218974335,Female
FBgn0000163,-0.19398305,0.1257909973569199,-0.43764938500000006,0.05396660424999999,Female
FBgn0000166,-0.016527268499999997,0.12569734510033762,-0.25761479,0.23201046999999997,Female
FBgn0000173,0.0023989999999999984,0.12249823294389839,-0.239347474,0.24666941749999993,Female
FBgn0000179,0.03912025,0.1267564977576378,-0.21156188750000002,0.28405916,Female
FBgn0000180,0.0715286,0.1302881167310816,-0.18762714249999998,0.3215893224999999,Female
FBgn0000181,-0.1353654,0.12429748145030317,-0.37746514999999997,0.10961341414999974,Female
FBgn0000182,-0.0829371,0.1253694082821835,-0.32943,0.1645991349999999,Female
FBgn0000183,-0.0398223,0.12761441038610963,-0.2915740025,0.20731450499999973,Female
FBgn0000206,0.0873433,0.12660493258969246,-0.163399875,0.3369678274999999,Female
FBgn0000212,-0.11670805000000001,0.12411044139473794,-0.352709375,0.13083677949999992,Female
FBgn0000216,-0.10342694999999999,0.1259531779523402,-0.35035502499999993,0.1460282499999998,Female
FBgn0000221,0.011743049999999998,0.12774970338746228,-0.23872176999999997,0.263990105,Female
FBgn0000227,-0.0407513,0.13103144089352642,-0.29632984999999995,0.21819742749999993,Female
FBgn0000228,-0.1766189,0.1279766591086669,-0.41903478000000005,0.0858729149999998,Female
FBgn0000229,0.1473572,0.12734623678317736,-0.1021270715,0.3885345499999999,Female
FBgn0000233,-0.0421211,0.1276328101826122,-0.29148316999999996,0.2105942049999999,Female
FBgn0000239,-0.057187840000000004,0.12765742169072763,-0.3036605875,0.19274668499999972,Female
FBgn0000241,-0.030308541,0.12582991169852736,-0.275632055,0.21673793499999996,Female
FBgn0000244,0.054231299999999996,0.1301844591506087,-0.19889449524999997,0.3121391225,Female
FBgn0000246,-0.055360317199999995,0.12659458141307312,-0.30366024999999996,0.1935592449999999,Female
FBgn0000247,-0.12824753499999997,0.1248631899105557,-0.365818385,0.1205863475,Female
FBgn0000250,-0.10280901,0.12507010483682574,-0.34547485499999997,0.14401394,Female
FBgn0000253,0.16586944999999997,0.12238658563856834,-0.07530181249999998,0.4065254525,Female
FBgn0000256,0.16601505,0.12479616116731626,-0.0816076775,0.40931082499999993,Female
FBgn0000257,-0.13261879999999998,0.1254207453120078,-0.37502661,0.11654646499999999,Female
FBgn0000259,0.016644855,0.12619867472983837,-0.23185016999999997,0.26773112749999994,Female
FBgn0000261,0.21114414999999997,0.12333428253905895,-0.024921032499999995,0.44909222499999996,Female
FBgn0000273,0.12806220000000001,0.12412976077830411,-0.11417865725000001,0.3672814499999999,Female
FBgn0000274,-0.018654399999999995,0.12573867384901022,-0.27088156,0.23097424999999988,Female
FBgn0000278,0.033134600000000014,0.12567282233489843,-0.21492442450000002,0.2791487899999999,Female
FBgn0000279,0.08260675,0.1270330021943798,-0.16790586675000002,0.32850148999999995,Female
FBgn0000281,-0.2387845,0.12256375339154915,-0.47266835,0.0029991724999999902,Female
FBgn0000283,-0.10004094999999999,0.1251568664211285,-0.35164646250000003,0.14390045574999985,Female
FBgn0000286,-0.016185999999999964,0.11757900536754491,-0.25218425000000005,0.21334837999999992,Female
FBgn0000287,-0.14426145,0.12511343330055785,-0.384874825,0.10623628749999998,Female
FBgn0000289,-0.08702209999999999,0.12336112576331607,-0.327737575,0.15913860499999993,Female
FBgn0000299,0.03482850000000001,0.1268944210464766,-0.21220219,0.280439419,Female
FBgn0000303,0.14830415000000002,0.12319847876889392,-0.10027285000000001,0.38854134999999984,Female
