Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0000014,0.156930915,0.061051711713314756,0.03392856625,0.2732197125,Female
FBgn0000015,-0.0293504345,0.06470248843264795,-0.15481918749999998,0.09827517124999999,Female
FBgn0000017,-0.04290423275,0.06280503835524996,-0.1661098375,0.07850807999999991,Female
FBgn0000018,-0.0133534725,0.06414876169293174,-0.13839666,0.11276370875,Female
FBgn0000022,-0.15537425,0.060819658144107905,-0.27456271499999996,-0.036736717500000016,Female
FBgn0000024,-0.041388125,0.06160091212820748,-0.16316667499999998,0.079219625875,Female
FBgn0000028,0.043786525,0.061673932411418664,-0.07741011712499998,0.16338373624999988,Female
FBgn0000032,0.095512975,0.06229573363835051,-0.027432673749999994,0.21693187499999997,Female
FBgn0000036,0.0067416825,0.06294113827728912,-0.11805136999999999,0.13071399375,Female
FBgn0000037,0.009639124999999998,0.06300551450044865,-0.11231414325,0.13379600374999998,Female
FBgn0000038,-0.07654674600000001,0.061752850262593736,-0.19539314999999996,0.045192164999999854,Female
FBgn0000039,0.01578098,0.06405574811265083,-0.11113337124999999,0.13782493249999989,Female
FBgn0000042,-0.015644150000000002,0.06275815477858046,-0.13687695000000002,0.10674504249999994,Female
FBgn0000043,-0.0650634,0.06310003396344034,-0.18604753749999997,0.061323385,Female
FBgn0000044,-0.0101277,0.06277380071442623,-0.13403035374999997,0.11079346249999995,Female
FBgn0000045,-0.03597925,0.0647096291847602,-0.16161241250000002,0.09106094999999999,Female
FBgn0000046,-0.02711415,0.063821301941307,-0.15034208875,0.09749823124999997,Female
FBgn0000047,0.034883300000000006,0.06368498059975503,-0.09206160125,0.15868744999999992,Female
FBgn0000052,-0.13476860000000002,0.06300200358597437,-0.25594696,-0.008648317500000016,Female
FBgn0000053,-0.06893042499999999,0.06376907744537674,-0.1905304875,0.05805397624999994,Female
FBgn0000056,-0.070135825,0.0607969918738531,-0.19095268837499998,0.048543252499999946,Female
FBgn0000057,0.056968050000000006,0.0635699786066239,-0.06574608125,0.18002864,Female
FBgn0000061,0.005008974999999996,0.06347883913709773,-0.12148922624999998,0.12964440375,Female
FBgn0000063,0.075151895,0.06366869679622486,-0.050399605,0.19625739749999993,Female
