Trait,Female_Evid_Ratio,Male_evidence_ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Trait_Sex
FBgn0000014,0.02210297687492014,0.6410256410256411,0.05028226335827754,0.110494169905608,Male
FBgn0000015,1.6657780739753416,6.782101167315175,5.405124099279424,0.39300017412502175,Male
FBgn0000017,0.11436133166179134,0.7797552836484983,0.17994100294985252,0.2824623276691247,Male
FBgn0000018,1.3995200959808038,0.7913121361397224,1.067717756526234,1.506265664160401,Male
FBgn0000022,0.14285714285714285,45.78362573099415,2.5618878005342833,0.01291466193973157,Male
FBgn0000024,0.6299918500407498,0.36939404313591234,0.3708019191226868,1.408912978018669,Male
FBgn0000028,0.43523501973448153,16.817371937639198,3.519774011299435,0.07324926214113228,Male
FBgn0000032,0.22699386503067484,0.2535255405828894,0.12771356075556808,0.911589008363202,Male
FBgn0000036,0.6090104585679806,2.2706459525756335,1.230275996654586,0.4005602240896359,Male
FBgn0000037,0.42374087915999287,2.5603026257231867,1.0502306509482318,0.28205128205128205,Male
FBgn0000038,3.799040191961608,0.9314340898116852,2.3912674862229757,2.659652333028362,Male
FBgn0000039,2.015454202789295,1.10581732034746,1.728512960436562,1.5364616360177552,Male
FBgn0000042,3.7365304914150386,0.05387959425635621,0.415929203539823,21.408963585434172,Male
FBgn0000043,0.6488046166529267,0.1495904583991953,0.19814287853826568,2.626473254759746,Male
FBgn0000044,0.7524644030668127,0.15390162988605222,0.22586576769843705,2.814973772055317,Male
FBgn0000045,2.798670465337132,0.5904572564612326,1.4002400240024002,2.9800995024875623,Male
FBgn0000046,0.91433357262503,0.7617264919621228,0.7897091722595079,1.1299254526091589,Male
FBgn0000047,10.188811188811188,0.8845700824499411,4.6457304163726185,5.578947368421052,Male
FBgn0000052,0.26863304789089754,0.9646365422396856,0.3836042891732964,0.39348545549555825,Male
FBgn0000053,1.3446658851113715,0.3044187184086092,0.5479876160990712,2.784295175023652,Male
FBgn0000056,0.01664760452408184,0.1479408810446262,0.01150587937792388,0.2987012987012987,Male
FBgn0000057,1.8388928317955997,0.8352833218628126,1.3296447291788005,1.767208578346593,Male
FBgn0000061,0.2779552715654952,0.124701251230142,0.08651364932771968,1.6446280991735538,Male
FBgn0000063,2.229713362939039,1.9750836742283375,2.90625,1.1180831347630396,Male
FBgn0000064,0.3140604467805519,2.0686612965093976,0.7053933063312726,0.260239445494644,Male
FBgn0000071,1.6917900403768509,0.3920306246737428,0.7617264919621228,2.750586029067042,Male
FBgn0000075,0.08562898629393405,1.1810250817884405,0.1908306043465317,0.16059770781952706,Male
FBgn0000077,0.7817371937639198,1.7387880862718248,1.2321428571428572,0.5732546705998034,Male
FBgn0000078,0.9305019305019304,0.2189547463050434,0.32472263619804603,2.552397868561279,Male
FBgn0000079,0.10573600552868002,0.287001287001287,0.0748354158269515,0.5137180700094608,Male
FBgn0000083,2.5056967572304996,0.485056617783553,1.1586616297895305,3.050632911392405,Male
FBgn0000084,1.3371311714869998,7.048289738430584,4.747126436781609,0.3393604553825548,Male
FBgn0000092,2.676470588235294,2.1821797931583133,3.5792787635947336,1.1911804984935634,Male
FBgn0000094,11.57861635220126,0.07368138504898672,0.9267822736030829,41.32804232804233,Male
FBgn0000097,0.4563990533406153,1.1069265209375825,0.5955325089748703,0.5432098765432098,Male
FBgn0000100,0.7750166407810073,0.06269925611052073,0.12866817155756208,5.158583525789068,Male
FBgn0000108,0.1198208286674132,0.188001188001188,0.06128946670204298,0.7493986442160507,Male
FBgn0000109,0.5885623510722796,2.334722801167153,1.2605255721955355,0.3898540653231411,Male
FBgn0000114,0.8285714285714286,0.3258203513423931,0.4020329477742727,1.9640607632456464,Male
FBgn0000115,1.263083451202263,1.5999350016249594,1.663115845539281,0.8604651162790697,Male
FBgn0000116,2.5242290748898677,0.968503937007874,1.9218407596785976,1.9884198729921552,Male
FBgn0000117,0.7316017316017316,0.4526965680043581,0.4638609332113449,1.33849751534639,Male
FBgn0000119,2.0698388334612434,6.2727272727272725,6.366482504604051,0.48864905098623,Male
FBgn0000120,0.3757523645743766,0.3027194268034522,0.20481927710843373,1.1378941742383752,Male
FBgn0000121,0.1479408810446262,0.3575428474461225,0.11482720178372352,0.5322735108216816,Male
FBgn0000137,0.8939393939393939,20.5633423180593,6.162041181736795,0.12978392882361248,Male
FBgn0000139,1.5518341307814991,1.3937761819269898,1.7519779841761265,1.0698576972833118,Male
FBgn0000140,1.074688796680498,1.4960998439937598,1.388772767990445,0.7857142857142857,Male
FBgn0000146,6.09849157054126,13.36265709156194,27.169014084507044,0.6522098306484924,Male
FBgn0000147,0.1841326228537596,0.5458937198067633,0.19886108197212649,0.49198060425214474,Male
FBgn0000150,0.4362657091561939,0.20300751879699247,0.1867675419077288,1.6359143327841843,Male
FBgn0000152,1.6084121291164004,0.7656146546016332,1.1586616297895305,1.7538726333907058,Male
FBgn0000153,2.582624272279445,3.4101433296582138,4.6537102473498235,0.8437427978796957,Male
FBgn0000157,0.439366678661389,3.37636761487965,1.2889842632331905,0.2376237623762376,Male
FBgn0000158,0.4825796886582654,0.8770530267480057,0.5414258188824663,0.6778523489932886,Male
FBgn0000163,0.2028266426101338,5.056018168054504,0.9860973187686196,0.09080992637032996,Male
FBgn0000166,1.0304568527918785,1.871500358937545,1.564102564102564,0.6539177175935498,Male
