Trait,prob_pos_female,prob_pos_male,p_sex_concord,p_sex_antag,evidence_ratio_concord,Trait_Sex
FBgn0000014,0.998125,0.697625,0.6968839062500001,0.3031160937499999,2.2990660034856703,Female
FBgn0000015,0.47062499999999996,0.277875,0.5130498437500001,0.48695015624999993,1.0535982731805522,Female
FBgn0000017,0.09162499999999996,0.657,0.37177024999999997,0.62822975,0.5917743468850368,Female
FBgn0000018,0.51975,0.35524999999999995,0.49428237499999994,0.5057176250000001,0.9773880730377943,Female
FBgn0000022,0.0026249999999999885,0.21437499999999998,0.78412546875,0.21587453125,3.6323204233940865,Female
FBgn0000024,0.62575,0.09362499999999996,0.39779668749999997,0.6022033125,0.6605687468715143,Female
FBgn0000028,0.826375,0.52925,0.5190929375,0.48090706250000004,1.0794038557086068,Female
FBgn0000032,0.96325,0.632625,0.6228770625000001,0.37712293750000003,1.6516552046108308,Female
FBgn0000036,0.588625,0.46025000000000005,0.4929543125,0.5070456875,0.972208865300723,Female
FBgn0000037,0.48687499999999995,0.601625,0.49733234375,0.50266765625,0.9893860039856106,Female
FBgn0000038,0.583375,0.026249999999999996,0.42100218750000007,0.5789978125,0.7271222419342043,Female
FBgn0000039,0.690875,0.440125,0.47714271875000003,0.52285728125,0.9125677997814056,Female
FBgn0000042,0.527375,0.3325,0.490829375,0.509170625,0.9639781851123089,Female
FBgn0000043,0.37587499999999996,0.13512500000000005,0.5905802187500001,0.40941978125,1.442480910294317,Female
FBgn0000044,0.74025,0.18274999999999997,0.347561375,0.6524386249999999,0.5327112186222881,Female
FBgn0000045,0.636,0.12549999999999994,0.39813599999999993,0.6018640000000001,0.6615049247005966,Female
FBgn0000046,0.530125,0.246375,0.48471909375,0.51528090625,0.9406890258705369,Female
FBgn0000047,0.864375,0.365,0.40161875,0.59838125,0.6711753585193387,Female
FBgn0000052,0.014000000000000012,0.24162499999999998,0.7511405,0.2488595,3.0183316288910005,Female
FBgn0000053,0.15287499999999998,0.31537499999999996,0.62817590625,0.3718240937499999,1.689443790246581,Female
FBgn0000056,0.021499999999999964,0.669125,0.33814737500000003,0.661852625,0.510910378273411,Female
FBgn0000057,0.47787500000000005,0.90975,0.4818685625000001,0.5181314374999999,0.930012208533477,Female
FBgn0000061,0.57475,0.46287500000000004,0.4944498125,0.5055501875,0.9780429811431925,Female
FBgn0000063,0.551,0.93725,0.5445995000000001,0.4554005,1.195869350165404,Female
FBgn0000064,0.70675,0.07762500000000006,0.3253479375,0.6746520624999999,0.48224552415119915,Female
FBgn0000071,0.35250000000000004,0.30337499999999995,0.558004375,0.441995625,1.2624658332308154,Female
FBgn0000075,0.22324999999999995,0.807125,0.33000631249999995,0.6699936875,0.4925513757172525,Female
FBgn0000077,0.015874999999999972,0.607625,0.39579209375,0.6042079062499999,0.6550594417184525,Female
FBgn0000078,0.19299999999999995,0.48062499999999997,0.51189625,0.48810374999999995,1.0487447596950445,Female
FBgn0000079,0.24750000000000005,0.23199999999999998,0.63534,0.36466000000000004,1.74228048044754,Female
FBgn0000083,0.0655,0.14500000000000002,0.8084950000000001,0.19150500000000004,4.221795775567217,Female
FBgn0000084,0.78325,0.359375,0.4203359375,0.5796640625,0.7251371349245925,Female
FBgn0000092,0.74425,0.947875,0.7187869374999999,0.2812130625,2.556022579854376,Female
FBgn0000094,0.061000000000000054,0.74325,0.28642650000000003,0.7135735,0.40139733328101457,Female
FBgn0000097,0.51425,0.53725,0.501061625,0.49893837500000005,1.0042555355658902,Female
FBgn0000100,0.3085,0.33462499999999995,0.563338625,0.43666137499999996,1.290104088093434,Female
FBgn0000108,0.668375,0.206125,0.4010375937499999,0.5989624062500001,0.6695538644250261,Female
FBgn0000109,0.552625,0.737375,0.52498371875,0.47501628124999995,1.105190999703234,Female
FBgn0000114,0.602125,0.66325,0.5333438125,0.46665618750000004,1.1429052625601368,Female
